"Date","Price","Open","High","Low","Change %"
"Dec 27, 2020","1.5537","1.5695","1.5743","1.5536","-1.07%"
"Dec 20, 2020","1.5705","1.5667","1.5788","1.5606","0.25%"
"Dec 13, 2020","1.5666","1.5472","1.5677","1.5419","1.30%"
"Dec 06, 2020","1.5465","1.5499","1.5569","1.5398","-0.15%"
"Nov 29, 2020","1.5489","1.5536","1.5714","1.5469","-0.32%"
"Nov 22, 2020","1.5539","1.5517","1.5552","1.5444","0.10%"
"Nov 15, 2020","1.5523","1.5538","1.5588","1.5460","-0.09%"
"Nov 08, 2020","1.5537","1.5510","1.5580","1.5310","0.25%"
"Nov 01, 2020","1.5499","1.5530","1.5567","1.5351","-0.07%"
"Oct 25, 2020","1.5510","1.5580","1.5673","1.5496","-0.32%"
"Oct 18, 2020","1.5560","1.5460","1.5608","1.5424","0.71%"
"Oct 11, 2020","1.5450","1.5509","1.5527","1.5386","-0.39%"
"Oct 04, 2020","1.5511","1.5590","1.5663","1.5498","-0.50%"
"Sep 27, 2020","1.5589","1.5571","1.5743","1.5551","0.15%"
"Sep 20, 2020","1.5566","1.5631","1.5680","1.5539","-0.41%"
"Sep 13, 2020","1.5630","1.5611","1.5661","1.5523","0.16%"
"Sep 06, 2020","1.5605","1.5451","1.5663","1.5445","0.95%"
"Aug 30, 2020","1.5458","1.5582","1.5653","1.5425","-0.84%"
"Aug 23, 2020","1.5589","1.5548","1.5649","1.5467","0.32%"
"Aug 16, 2020","1.5540","1.5709","1.5757","1.5519","-1.07%"
"Aug 09, 2020","1.5708","1.5784","1.5793","1.5583","-0.41%"
"Aug 02, 2020","1.5773","1.5793","1.5827","1.5680","-0.15%"
"Jul 26, 2020","1.5796","1.5617","1.5982","1.5616","1.04%"
"Jul 19, 2020","1.5634","1.5508","1.5647","1.5374","0.75%"
"Jul 12, 2020","1.5517","1.5360","1.5546","1.5338","1.02%"
"Jul 05, 2020","1.5360","1.5236","1.5402","1.5232","0.80%"
"Jun 28, 2020","1.5238","1.5364","1.5431","1.5195","-0.78%"
"Jun 21, 2020","1.5359","1.5213","1.5374","1.5194","1.00%"
"Jun 14, 2020","1.5207","1.5277","1.5398","1.5149","-0.56%"
"Jun 07, 2020","1.5292","1.5157","1.5451","1.5089","0.91%"
"May 31, 2020","1.5153","1.5281","1.5349","1.5051","-0.86%"
"May 24, 2020","1.5285","1.5261","1.5388","1.5051","0.16%"
"May 17, 2020","1.5260","1.5251","1.5326","1.5162","-0.01%"
"May 10, 2020","1.5261","1.5094","1.5282","1.5066","1.09%"
"May 03, 2020","1.5098","1.5467","1.5497","1.5075","-2.40%"
"Apr 26, 2020","1.5468","1.5266","1.5536","1.5050","1.34%"
"Apr 19, 2020","1.5263","1.5231","1.5459","1.5110","0.26%"
"Apr 12, 2020","1.5224","1.5253","1.5416","1.5120","-0.24%"
"Apr 05, 2020","1.5260","1.5338","1.5425","1.5196","-0.60%"
"Mar 29, 2020","1.5352","1.5581","1.5716","1.5212","-1.44%"
"Mar 22, 2020","1.5576","1.5343","1.5797","1.5337","1.39%"
"Mar 15, 2020","1.5363","1.5361","1.5997","1.5214","0.20%"
"Mar 08, 2020","1.5332","1.5201","1.5809","1.5192","1.19%"
"Mar 01, 2020","1.5151","1.4782","1.5249","1.4726","2.55%"
"Feb 23, 2020","1.4774","1.4364","1.4872","1.4325","2.99%"
"Feb 16, 2020","1.4345","1.4357","1.4379","1.4260","-0.07%"
"Feb 09, 2020","1.4355","1.4569","1.4586","1.4345","-1.47%"
"Feb 02, 2020","1.4569","1.4686","1.4723","1.4548","-0.78%"
"Jan 26, 2020","1.4684","1.4491","1.4690","1.4476","1.34%"
"Jan 19, 2020","1.4490","1.4494","1.4618","1.4454","0.02%"
"Jan 12, 2020","1.4487","1.4524","1.4584","1.4473","-0.20%"
"Jan 05, 2020","1.4516","1.4508","1.4549","1.4457","0.03%"
"Dec 29, 2019","1.4511","1.4619","1.4658","1.4446","-0.72%"
"Dec 22, 2019","1.4616","1.4568","1.4628","1.4544","0.34%"
"Dec 15, 2019","1.4567","1.4652","1.4715","1.4552","-0.53%"
"Dec 08, 2019","1.4644","1.4655","1.4751","1.4621","-0.12%"
"Dec 01, 2019","1.4661","1.4623","1.4762","1.4595","0.23%"
"Nov 24, 2019","1.4627","1.4665","1.4678","1.4585","-0.25%"
"Nov 17, 2019","1.4664","1.4603","1.4774","1.4510","0.34%"
"Nov 10, 2019","1.4614","1.4575","1.4640","1.4547","0.25%"
"Nov 03, 2019","1.4578","1.4659","1.4695","1.4537","-0.62%"
"Oct 27, 2019","1.4669","1.4474","1.4726","1.4453","1.40%"
"Oct 20, 2019","1.4467","1.4627","1.4672","1.4463","-1.34%"
"Oct 13, 2019","1.4663","1.4576","1.4669","1.4530","0.62%"
"Oct 06, 2019","1.4573","1.4616","1.4694","1.4547","-0.31%"
"Sep 29, 2019","1.4618","1.4489","1.4676","1.4412","0.89%"
"Sep 22, 2019","1.4489","1.4608","1.4639","1.4467","-0.83%"
"Sep 15, 2019","1.4610","1.4650","1.4712","1.4553","-0.70%"
"Sep 08, 2019","1.4713","1.4531","1.4721","1.4431","1.28%"
"Sep 01, 2019","1.4527","1.4639","1.4695","1.4510","-0.71%"
"Aug 25, 2019","1.4631","1.4803","1.4864","1.4590","-1.17%"
"Aug 18, 2019","1.4804","1.4723","1.4852","1.4705","0.58%"
"Aug 11, 2019","1.4719","1.4818","1.4916","1.4708","-0.61%"
"Aug 04, 2019","1.4810","1.4673","1.4997","1.4660","0.95%"
"Jul 28, 2019","1.4670","1.4651","1.4717","1.4578","0.14%"
"Jul 21, 2019","1.4650","1.4658","1.4719","1.4572","-0.05%"
"Jul 14, 2019","1.4658","1.4686","1.4715","1.4603","-0.20%"
"Jul 07, 2019","1.4687","1.4671","1.4778","1.4635","0.02%"
"Jun 30, 2019","1.4684","1.4881","1.4888","1.4666","-1.36%"
"Jun 23, 2019","1.4886","1.5023","1.5055","1.4860","-0.97%"
"Jun 16, 2019","1.5032","1.5035","1.5088","1.4861","-0.02%"
"Jun 09, 2019","1.5035","1.5014","1.5086","1.4965","-0.01%"
"Jun 02, 2019","1.5036","1.5092","1.5152","1.5003","-0.50%"
"May 26, 2019","1.5112","1.5043","1.5130","1.4993","0.37%"
"May 19, 2019","1.5056","1.5022","1.5099","1.4922","0.26%"
"May 12, 2019","1.5017","1.5083","1.5150","1.4991","-0.35%"
"May 05, 2019","1.5069","1.5045","1.5184","1.5019","0.24%"
"Apr 28, 2019","1.5033","1.5010","1.5114","1.4983","0.21%"
"Apr 21, 2019","1.5001","1.5057","1.5135","1.4978","-0.42%"
"Apr 14, 2019","1.5064","1.5054","1.5160","1.5003","0.05%"
"Apr 07, 2019","1.5057","1.5023","1.5106","1.4968","0.31%"
"Mar 31, 2019","1.5011","1.4969","1.5065","1.4903","0.27%"
"Mar 24, 2019","1.4971","1.5204","1.5216","1.4968","-1.46%"
"Mar 17, 2019","1.5193","1.5115","1.5231","1.5036","0.61%"
"Mar 10, 2019","1.5101","1.5086","1.5152","1.5040","0.15%"
"Mar 03, 2019","1.5079","1.5118","1.5230","1.5027","-0.31%"
"Feb 24, 2019","1.5126","1.4899","1.5137","1.4876","1.50%"
"Feb 17, 2019","1.4902","1.4946","1.5088","1.4878","-0.37%"
"Feb 10, 2019","1.4957","1.5061","1.5066","1.4911","-0.58%"
"Feb 03, 2019","1.5045","1.5039","1.5131","1.4954","0.25%"
"Jan 27, 2019","1.5007","1.5079","1.5197","1.4977","-0.47%"
"Jan 20, 2019","1.5078","1.5062","1.5231","1.5056","0.08%"
"Jan 13, 2019","1.5066","1.5213","1.5257","1.5039","-0.98%"
"Jan 06, 2019","1.5215","1.5242","1.5326","1.5146","-0.14%"
"Dec 30, 2018","1.5236","1.5599","1.5753","1.5236","-2.37%"
"Dec 23, 2018","1.5606","1.5466","1.5649","1.5397","0.90%"
"Dec 16, 2018","1.5467","1.5131","1.5534","1.5120","2.18%"
"Dec 09, 2018","1.5137","1.5159","1.5277","1.5080","-0.13%"
"Dec 02, 2018","1.5157","1.5003","1.5312","1.4913","0.73%"
"Nov 25, 2018","1.5047","1.5011","1.5155","1.4975","0.23%"
"Nov 18, 2018","1.5012","1.5013","1.5173","1.4948","-0.01%"
"Nov 11, 2018","1.5013","1.4958","1.5050","1.4845","0.25%"
"Nov 04, 2018","1.4976","1.4933","1.5054","1.4876","0.33%"
"Oct 28, 2018","1.4927","1.4954","1.4986","1.4842","-0.15%"
"Oct 21, 2018","1.4950","1.5069","1.5117","1.4770","-0.88%"
"Oct 14, 2018","1.5083","1.5062","1.5136","1.4926","0.17%"
"Oct 07, 2018","1.5058","1.4910","1.5138","1.4851","1.00%"
"Sep 30, 2018","1.4909","1.4976","1.4981","1.4757","-0.49%"
"Sep 23, 2018","1.4983","1.5175","1.5327","1.4971","-1.27%"
"Sep 16, 2018","1.5175","1.5159","1.5264","1.5056","0.11%"
"Sep 09, 2018","1.5158","1.5227","1.5298","1.5088","-0.27%"
"Sep 02, 2018","1.5199","1.5121","1.5375","1.5116","0.47%"
"Aug 26, 2018","1.5128","1.5147","1.5218","1.5075","-0.08%"
"Aug 19, 2018","1.5140","1.4941","1.5172","1.4896","1.37%"
"Aug 12, 2018","1.4936","1.4975","1.5017","1.4791","-0.41%"
"Aug 05, 2018","1.4998","1.5038","1.5192","1.4930","-0.19%"
"Jul 29, 2018","1.5026","1.5219","1.5327","1.5013","-1.26%"
"Jul 22, 2018","1.5217","1.5412","1.5432","1.5170","-1.27%"
"Jul 15, 2018","1.5412","1.5364","1.5474","1.5318","0.21%"
"Jul 08, 2018","1.5380","1.5379","1.5444","1.5316","0.08%"
"Jul 01, 2018","1.5367","1.5311","1.5447","1.5282","0.14%"
"Jun 24, 2018","1.5345","1.5470","1.5591","1.5312","-0.81%"
"Jun 17, 2018","1.5471","1.5322","1.5588","1.5246","0.95%"
"Jun 10, 2018","1.5326","1.5264","1.5363","1.5116","0.76%"
"Jun 03, 2018","1.5211","1.5097","1.5367","1.5093","0.75%"
"May 27, 2018","1.5098","1.5111","1.5227","1.4909","-0.11%"
"May 20, 2018","1.5115","1.5149","1.5174","1.4996","-0.37%"
"May 13, 2018","1.5171","1.5280","1.5319","1.5048","-0.71%"
"May 06, 2018","1.5280","1.5355","1.5448","1.5147","-0.55%"
"Apr 29, 2018","1.5364","1.5548","1.5597","1.5332","-1.26%"
"Apr 22, 2018","1.5560","1.5673","1.5719","1.5531","-0.75%"
"Apr 15, 2018","1.5678","1.5543","1.5692","1.5472","0.80%"
"Apr 08, 2018","1.5553","1.5683","1.5758","1.5460","-0.96%"
"Apr 01, 2018","1.5703","1.5902","1.5930","1.5584","-1.17%"
"Mar 25, 2018","1.5889","1.5920","1.6082","1.5832","-0.24%"
"Mar 18, 2018","1.5927","1.6092","1.6157","1.5813","-1.05%"
"Mar 11, 2018","1.6096","1.5790","1.6144","1.5761","2.07%"
"Mar 04, 2018","1.5769","1.5868","1.6128","1.5755","-0.61%"
"Feb 25, 2018","1.5865","1.5556","1.5921","1.5521","2.18%"
"Feb 18, 2018","1.5527","1.5573","1.5691","1.5520","-0.33%"
"Feb 11, 2018","1.5578","1.5411","1.5651","1.5404","1.23%"
"Feb 04, 2018","1.5389","1.5484","1.5572","1.5370","-0.62%"
"Jan 28, 2018","1.5485","1.5305","1.5494","1.5217","1.26%"
"Jan 21, 2018","1.5292","1.5318","1.5419","1.5197","0.18%"
"Jan 14, 2018","1.5264","1.5197","1.5324","1.5126","0.55%"
"Jan 07, 2018","1.5181","1.4932","1.5224","1.4815","1.69%"
"Dec 31, 2017","1.4928","1.5099","1.5149","1.4878","-1.09%"
"Dec 24, 2017","1.5092","1.5091","1.5127","1.4992","-0.05%"
"Dec 17, 2017","1.5099","1.5116","1.5306","1.5045","-0.13%"
"Dec 10, 2017","1.5118","1.5122","1.5231","1.4995","0.05%"
"Dec 03, 2017","1.5111","1.5070","1.5184","1.4917","0.20%"
"Nov 26, 2017","1.5081","1.5176","1.5376","1.5080","-0.59%"
"Nov 19, 2017","1.5170","1.5048","1.5177","1.4956","0.77%"
"Nov 12, 2017","1.5054","1.4792","1.5128","1.4771","1.76%"
"Nov 05, 2017","1.4793","1.4816","1.4841","1.4734","-0.16%"
"Oct 29, 2017","1.4816","1.4856","1.5045","1.4801","-0.36%"
"Oct 22, 2017","1.4869","1.4862","1.5151","1.4818","-0.07%"
"Oct 15, 2017","1.4880","1.4755","1.4880","1.4680","0.94%"
"Oct 08, 2017","1.4741","1.4698","1.4842","1.4683","0.22%"
"Oct 01, 2017","1.4709","1.4747","1.4747","1.4632","-0.15%"
"Sep 24, 2017","1.4731","1.4746","1.4803","1.4486","-0.07%"
"Sep 17, 2017","1.4742","1.4569","1.4771","1.4513","1.22%"
"Sep 10, 2017","1.4564","1.4642","1.4642","1.4441","-0.43%"
"Sep 03, 2017","1.4627","1.4706","1.4815","1.4486","-0.50%"
"Aug 27, 2017","1.4701","1.4878","1.5078","1.4679","-1.21%"
"Aug 20, 2017","1.4881","1.4786","1.4905","1.4725","0.52%"
"Aug 13, 2017","1.4804","1.4961","1.5017","1.4726","-1.19%"
"Aug 06, 2017","1.4982","1.4882","1.5021","1.4835","0.59%"
"Jul 30, 2017","1.4894","1.4590","1.4965","1.4589","1.93%"
"Jul 23, 2017","1.4612","1.4622","1.4717","1.4530","-0.08%"
"Jul 16, 2017","1.4624","1.4499","1.4687","1.4479","0.86%"
"Jul 09, 2017","1.4499","1.4674","1.4834","1.4484","-1.23%"
"Jul 02, 2017","1.4680","1.4804","1.4840","1.4650","-0.90%"
"Jun 25, 2017","1.4813","1.4859","1.4986","1.4782","-0.26%"
"Jun 18, 2017","1.4851","1.4802","1.4899","1.4726","0.39%"
"Jun 11, 2017","1.4794","1.5069","1.5108","1.4760","-1.90%"
"Jun 04, 2017","1.5080","1.5220","1.5240","1.5015","-0.85%"
"May 28, 2017","1.5210","1.5032","1.5261","1.4970","1.15%"
"May 21, 2017","1.5037","1.5135","1.5211","1.5010","-0.71%"
"May 14, 2017","1.5145","1.4982","1.5218","1.4901","1.05%"
"May 07, 2017","1.4987","1.5018","1.5077","1.4828","-0.17%"
"Apr 30, 2017","1.5013","1.4898","1.5156","1.4869","0.92%"
"Apr 23, 2017","1.4876","1.4700","1.4946","1.4559","2.71%"
"Apr 16, 2017","1.4483","1.4143","1.4539","1.4116","2.42%"
"Apr 09, 2017","1.4141","1.4197","1.4218","1.4053","-0.39%"
"Apr 02, 2017","1.4197","1.4201","1.4361","1.4175","0.08%"
"Mar 26, 2017","1.4185","1.4444","1.4603","1.4176","-1.81%"
"Mar 19, 2017","1.4447","1.4334","1.4499","1.4307","0.78%"
"Mar 12, 2017","1.4335","1.4372","1.4421","1.4241","-0.29%"
"Mar 05, 2017","1.4376","1.4205","1.4406","1.4156","1.17%"
"Feb 26, 2017","1.4210","1.3842","1.4217","1.3830","2.76%"
"Feb 19, 2017","1.3828","1.3910","1.3938","1.3805","-0.54%"
"Feb 12, 2017","1.3903","1.3907","1.3965","1.3785","-0.12%"
"Feb 05, 2017","1.3920","1.4046","1.4107","1.3887","-0.88%"
"Jan 29, 2017","1.4044","1.4057","1.4136","1.3962","-0.20%"
"Jan 22, 2017","1.4072","1.4261","1.4316","1.3971","-1.30%"
"Jan 15, 2017","1.4257","1.3923","1.4279","1.3905","2.14%"
"Jan 08, 2017","1.3958","1.3950","1.4042","1.3857","0.11%"
"Jan 01, 2017","1.3942","1.4158","1.4158","1.3879","-1.30%"
"Dec 25, 2016","1.4125","1.4143","1.4369","1.4077","-0.20%"
"Dec 18, 2016","1.4154","1.3932","1.4172","1.3876","1.56%"
"Dec 11, 2016","1.3937","1.3883","1.4040","1.3824","0.12%"
"Dec 04, 2016","1.3920","1.4193","1.4364","1.3863","-1.89%"
"Nov 27, 2016","1.4188","1.4324","1.4394","1.4125","-0.95%"
"Nov 20, 2016","1.4324","1.4294","1.4360","1.4184","0.20%"
"Nov 13, 2016","1.4295","1.4655","1.4662","1.4279","-2.77%"
"Nov 06, 2016","1.4703","1.4938","1.5292","1.4591","-1.54%"
"Oct 30, 2016","1.4933","1.4719","1.4964","1.4643","1.44%"
"Oct 23, 2016","1.4721","1.4509","1.4754","1.4440","1.41%"
"Oct 16, 2016","1.4516","1.4420","1.4580","1.4262","0.69%"
"Oct 09, 2016","1.4416","1.4883","1.4884","1.4404","-3.22%"
"Oct 02, 2016","1.4895","1.4745","1.4902","1.4661","0.93%"
"Sep 25, 2016","1.4758","1.4784","1.4927","1.4630","-0.17%"
"Sep 18, 2016","1.4783","1.4748","1.4813","1.4611","0.31%"
"Sep 11, 2016","1.4737","1.4652","1.4877","1.4641","0.55%"
"Sep 04, 2016","1.4656","1.4492","1.4667","1.4380","1.07%"
"Aug 28, 2016","1.4501","1.4549","1.4689","1.4479","-0.41%"
"Aug 21, 2016","1.4561","1.4551","1.4677","1.4499","-0.12%"
"Aug 14, 2016","1.4579","1.4459","1.4593","1.4426","0.89%"
"Aug 07, 2016","1.4451","1.4609","1.4629","1.4429","-1.01%"
"Jul 31, 2016","1.4598","1.4555","1.4733","1.4466","0.21%"
"Jul 24, 2016","1.4567","1.4395","1.4669","1.4391","1.11%"
"Jul 17, 2016","1.4407","1.4320","1.4509","1.4289","0.65%"
"Jul 10, 2016","1.4314","1.4421","1.4541","1.4279","-0.74%"
"Jul 03, 2016","1.4420","1.4383","1.4469","1.4285","0.24%"
"Jun 26, 2016","1.4385","1.4374","1.4487","1.4277","-0.51%"
"Jun 19, 2016","1.4459","1.4546","1.4613","1.4248","-0.57%"
"Jun 12, 2016","1.4542","1.4383","1.4644","1.4362","1.09%"
"Jun 05, 2016","1.4385","1.4704","1.4731","1.4318","-2.16%"
"May 29, 2016","1.4702","1.4467","1.4728","1.4466","1.60%"
"May 22, 2016","1.4470","1.4708","1.4783","1.4431","-1.69%"
"May 15, 2016","1.4718","1.4623","1.4759","1.4539","0.58%"
"May 08, 2016","1.4633","1.4718","1.4827","1.4562","-0.61%"
"May 01, 2016","1.4723","1.4370","1.4824","1.4361","2.38%"
"Apr 24, 2016","1.4381","1.4229","1.4403","1.4179","1.04%"
"Apr 17, 2016","1.4233","1.4615","1.4684","1.4196","-1.62%"
"Apr 10, 2016","1.4467","1.4805","1.4862","1.4383","-2.30%"
"Apr 03, 2016","1.4808","1.4826","1.5032","1.4761","-0.06%"
"Mar 27, 2016","1.4817","1.4814","1.4979","1.4651","-0.04%"
"Mar 20, 2016","1.4823","1.4661","1.4842","1.4604","1.17%"
"Mar 13, 2016","1.4652","1.4733","1.4884","1.4587","-0.70%"
"Mar 06, 2016","1.4755","1.4656","1.5019","1.4386","0.70%"
"Feb 28, 2016","1.4652","1.4771","1.4848","1.4529","-0.83%"
"Feb 21, 2016","1.4774","1.5321","1.5344","1.4750","-3.61%"
"Feb 14, 2016","1.5328","1.5590","1.5594","1.5138","-1.70%"
"Feb 07, 2016","1.5593","1.5522","1.5916","1.5428","0.42%"
"Jan 31, 2016","1.5528","1.5138","1.5540","1.5112","2.55%"
"Jan 24, 2016","1.5142","1.5250","1.5570","1.5125","-0.66%"
"Jan 17, 2016","1.5243","1.5871","1.6110","1.5243","-3.97%"
"Jan 10, 2016","1.5873","1.5489","1.5963","1.5298","2.47%"
"Jan 03, 2016","1.5490","1.5039","1.5500","1.4952","2.99%"
"Dec 27, 2015","1.5041","1.5163","1.5299","1.5008","-0.87%"
"Dec 20, 2015","1.5173","1.5165","1.5328","1.5046","0.04%"
"Dec 13, 2015","1.5167","1.5112","1.5208","1.4943","0.33%"
"Dec 06, 2015","1.5117","1.4515","1.5134","1.4510","3.92%"
"Nov 29, 2015","1.4547","1.4158","1.4673","1.4043","2.70%"
"Nov 22, 2015","1.4164","1.4206","1.4285","1.4072","-0.29%"
"Nov 15, 2015","1.4205","1.4322","1.4364","1.4142","-1.08%"
"Nov 08, 2015","1.4360","1.4282","1.4389","1.4161","0.48%"
"Nov 01, 2015","1.4292","1.4421","1.4491","1.4201","-0.70%"
"Oct 25, 2015","1.4393","1.4490","1.4671","1.4356","-0.77%"
"Oct 18, 2015","1.4504","1.4661","1.4914","1.4448","-0.98%"
"Oct 11, 2015","1.4648","1.4693","1.4903","1.4599","-0.36%"
"Oct 04, 2015","1.4701","1.4762","1.4791","1.4551","-0.26%"
"Sep 27, 2015","1.4739","1.4919","1.5162","1.4736","-1.27%"
"Sep 20, 2015","1.4929","1.4924","1.5115","1.4723","-0.16%"
"Sep 13, 2015","1.4953","1.5033","1.5080","1.4844","-0.57%"
"Sep 06, 2015","1.5038","1.4812","1.5059","1.4658","1.55%"
"Aug 30, 2015","1.4808","1.4753","1.5010","1.4595","0.33%"
"Aug 23, 2015","1.4759","1.4978","1.5560","1.4741","-1.72%"
"Aug 16, 2015","1.5018","1.4537","1.5027","1.4383","3.31%"
"Aug 09, 2015","1.4537","1.4399","1.4615","1.4312","0.94%"
"Aug 02, 2015","1.4401","1.4366","1.4451","1.4240","0.13%"
"Jul 26, 2015","1.4382","1.4309","1.4497","1.4169","0.35%"
