"Date","Price","Open","High","Low","Change %"
"Dec 20","0.8929","0.8953","0.9231","0.8928","-0.26%"
"Nov 20","0.8952","0.9002","0.9071","0.8858","-0.50%"
"Oct 20","0.8997","0.9073","0.9165","0.8982","-0.78%"
"Sep 20","0.9068","0.8930","0.9292","0.8864","1.60%"
"Aug 20","0.8925","0.9007","0.9073","0.8907","-0.82%"
"Jul 20","0.8999","0.9057","0.9149","0.8936","-0.62%"
"Jun 20","0.9055","0.8993","0.9179","0.8863","0.75%"
"May 20","0.8988","0.8699","0.9056","0.8688","3.35%"
"Apr 20","0.8697","0.8882","0.8913","0.8668","-2.05%"
"Mar 20","0.8879","0.8582","0.9503","0.8582","3.26%"
"Feb 20","0.8599","0.8393","0.8643","0.8280","2.34%"
"Jan 20","0.8402","0.8455","0.8598","0.8386","-0.53%"
"Dec 19","0.8447","0.8525","0.8593","0.8276","-0.81%"
"Nov 19","0.8516","0.8617","0.8659","0.8497","-1.14%"
"Oct 19","0.8614","0.8870","0.9021","0.8572","-2.82%"
"Sep 19","0.8864","0.9049","0.9150","0.8786","-1.91%"
"Aug 19","0.9037","0.9109","0.9326","0.9014","-0.76%"
"Jul 19","0.9106","0.8959","0.9191","0.8890","1.71%"
"Jun 19","0.8953","0.8845","0.8993","0.8824","1.20%"
"May 19","0.8847","0.8606","0.8878","0.8490","2.85%"
"Apr 19","0.8602","0.8613","0.8686","0.8501","-0.03%"
"Mar 19","0.8605","0.8574","0.8724","0.8469","0.40%"
"Feb 19","0.8571","0.8731","0.8842","0.8528","-1.81%"
"Jan 19","0.8729","0.8986","0.9135","0.8615","-2.87%"
"Dec 18","0.8987","0.8863","0.9090","0.8859","1.34%"
"Nov 18","0.8868","0.8861","0.8932","0.8654","0.10%"
"Oct 18","0.8859","0.8907","0.8942","0.8720","-0.54%"
"Sep 18","0.8907","0.8939","0.9054","0.8846","-0.45%"
"Aug 18","0.8947","0.8906","0.9100","0.8853","0.47%"
"Jul 18","0.8905","0.8843","0.8960","0.8798","0.69%"
"Jun 18","0.8844","0.8791","0.8892","0.8716","0.65%"
"May 18","0.8787","0.8777","0.8846","0.8695","0.22%"
"Apr 18","0.8768","0.8782","0.8828","0.8619","-0.23%"
"Mar 18","0.8788","0.8862","0.8970","0.8666","-0.80%"
"Feb 18","0.8859","0.8748","0.8921","0.8715","1.25%"
"Jan 18","0.8750","0.8881","0.8930","0.8686","-1.41%"
"Dec 17","0.8875","0.8801","0.8895","0.8688","0.88%"
"Nov 17","0.8798","0.8767","0.9016","0.8732","0.38%"
