"Date","Price","Open","High","Low","Change %"
"Dec 27, 2020","0.8875","0.9002","0.9094","0.8878","-1.44%"
"Dec 20, 2020","0.9005","0.9096","0.9219","0.8952","-0.63%"
"Dec 13, 2020","0.9062","0.9121","0.9150","0.8982","-1.03%"
"Dec 06, 2020","0.9156","0.9018","0.9231","0.8982","1.54%"
"Nov 29, 2020","0.9017","0.8983","0.9086","0.8928","0.39%"
"Nov 22, 2020","0.8982","0.8931","0.9002","0.8865","0.68%"
"Nov 15, 2020","0.8921","0.8971","0.8997","0.8914","-0.55%"
"Nov 08, 2020","0.8970","0.9024","0.9050","0.8858","-0.58%"
"Nov 01, 2020","0.9022","0.9002","0.9071","0.8942","0.28%"
"Oct 25, 2020","0.8997","0.9089","0.9107","0.8982","-1.04%"
"Oct 18, 2020","0.9092","0.9070","0.9150","0.9010","0.23%"
"Oct 11, 2020","0.9071","0.9057","0.9122","0.9005","0.11%"
"Oct 04, 2020","0.9061","0.9058","0.9165","0.9038","0.10%"
"Sep 27, 2020","0.9052","0.9125","0.9159","0.9026","-0.77%"
"Sep 20, 2020","0.9122","0.9168","0.9222","0.9111","-0.45%"
"Sep 13, 2020","0.9163","0.9255","0.9268","0.9082","-0.99%"
"Sep 06, 2020","0.9255","0.8915","0.9292","0.8907","3.86%"
"Aug 30, 2020","0.8911","0.8912","0.8968","0.8864","-0.02%"
"Aug 23, 2020","0.8913","0.9011","0.9045","0.8907","-1.07%"
"Aug 16, 2020","0.9009","0.9048","0.9073","0.8942","-0.42%"
"Aug 09, 2020","0.9047","0.9039","0.9056","0.8968","0.21%"
"Aug 02, 2020","0.9028","0.9007","0.9061","0.8981","0.32%"
"Jul 26, 2020","0.8999","0.9111","0.9149","0.8979","-1.23%"
"Jul 19, 2020","0.9111","0.9090","0.9140","0.8999","0.19%"
"Jul 12, 2020","0.9093","0.8957","0.9137","0.8944","1.57%"
"Jul 05, 2020","0.8953","0.9003","0.9069","0.8936","-0.63%"
"Jun 28, 2020","0.9010","0.9102","0.9179","0.9000","-0.93%"
"Jun 21, 2020","0.9095","0.9053","0.9102","0.9000","0.56%"
"Jun 14, 2020","0.9044","0.8977","0.9075","0.8909","0.77%"
"Jun 07, 2020","0.8975","0.8902","0.9017","0.8863","0.72%"
"May 31, 2020","0.8911","0.8993","0.9026","0.8866","-0.88%"
"May 24, 2020","0.8990","0.8953","0.9056","0.8877","0.40%"
"May 17, 2020","0.8954","0.8949","0.9003","0.8892","0.22%"
"May 10, 2020","0.8935","0.8740","0.8942","0.8715","2.27%"
"May 03, 2020","0.8736","0.8785","0.8816","0.8690","-0.51%"
"Apr 26, 2020","0.8781","0.8748","0.8798","0.8668","0.37%"
"Apr 19, 2020","0.8749","0.8697","0.8866","0.8689","0.58%"
"Apr 12, 2020","0.8698","0.8780","0.8795","0.8681","-0.93%"
"Apr 05, 2020","0.8781","0.8812","0.8866","0.8724","-0.39%"
"Mar 29, 2020","0.8815","0.8946","0.8992","0.8738","-1.44%"
"Mar 22, 2020","0.8944","0.9171","0.9391","0.8904","-2.63%"
"Mar 15, 2020","0.9186","0.9037","0.9503","0.8985","1.56%"
"Mar 08, 2020","0.9045","0.8656","0.9051","0.8649","4.58%"
"Mar 01, 2020","0.8649","0.8582","0.8747","0.8582","0.57%"
"Feb 23, 2020","0.8600","0.8364","0.8641","0.8337","2.86%"
"Feb 16, 2020","0.8361","0.8312","0.8419","0.8281","0.71%"
"Feb 09, 2020","0.8302","0.8492","0.8506","0.8296","-2.20%"
"Feb 02, 2020","0.8489","0.8394","0.8539","0.8394","1.01%"
"Jan 26, 2020","0.8404","0.8431","0.8489","0.8386","-0.31%"
"Jan 19, 2020","0.8430","0.8532","0.8556","0.8387","-1.10%"
"Jan 12, 2020","0.8524","0.8518","0.8600","0.8488","0.09%"
"Jan 05, 2020","0.8516","0.8540","0.8547","0.8454","-0.14%"
"Dec 29, 2019","0.8528","0.8556","0.8558","0.8448","-0.21%"
"Dec 22, 2019","0.8546","0.8527","0.8592","0.8504","0.31%"
"Dec 15, 2019","0.8520","0.8343","0.8558","0.8301","2.10%"
"Dec 08, 2019","0.8345","0.8413","0.8510","0.8276","-0.87%"
"Dec 01, 2019","0.8418","0.8525","0.8576","0.8411","-1.17%"
"Nov 24, 2019","0.8518","0.8592","0.8592","0.8497","-0.85%"
"Nov 17, 2019","0.8591","0.8563","0.8608","0.8521","0.28%"
"Nov 10, 2019","0.8567","0.8627","0.8627","0.8545","-0.71%"
"Nov 03, 2019","0.8628","0.8621","0.8660","0.8585","-0.05%"
"Oct 27, 2019","0.8632","0.8639","0.8653","0.8595","-0.10%"
"Oct 20, 2019","0.8641","0.8624","0.8679","0.8577","0.35%"
"Oct 13, 2019","0.8611","0.8730","0.8812","0.8571","-1.36%"
"Oct 06, 2019","0.8730","0.8905","0.9022","0.8693","-1.92%"
"Sep 29, 2019","0.8901","0.8903","0.8940","0.8831","0.00%"
"Sep 22, 2019","0.8901","0.8831","0.8905","0.8800","0.82%"
"Sep 15, 2019","0.8829","0.8860","0.8903","0.8785","-0.34%"
"Sep 08, 2019","0.8859","0.8964","0.9016","0.8856","-1.35%"
"Sep 01, 2019","0.8980","0.9049","0.9150","0.8942","-0.66%"
"Aug 25, 2019","0.9040","0.9096","0.9124","0.9015","-0.40%"
"Aug 18, 2019","0.9076","0.9126","0.9184","0.9025","-0.56%"
"Aug 11, 2019","0.9127","0.9306","0.9326","0.9089","-1.96%"
"Aug 04, 2019","0.9309","0.9148","0.9319","0.9126","1.86%"
"Jul 28, 2019","0.9139","0.8984","0.9191","0.8982","1.70%"
"Jul 21, 2019","0.8986","0.8971","0.9007","0.8890","0.11%"
"Jul 14, 2019","0.8976","0.8962","0.9052","0.8955","0.15%"
"Jul 07, 2019","0.8963","0.8968","0.9012","0.8952","0.00%"
"Jun 30, 2019","0.8963","0.8960","0.8992","0.8920","0.08%"
"Jun 23, 2019","0.8956","0.8920","0.8994","0.8915","0.38%"
"Jun 16, 2019","0.8922","0.8901","0.8977","0.8872","0.22%"
"Jun 09, 2019","0.8902","0.8890","0.8935","0.8871","0.04%"
"Jun 02, 2019","0.8898","0.8847","0.8904","0.8824","0.53%"
"May 26, 2019","0.8851","0.8800","0.8880","0.8781","0.43%"
"May 19, 2019","0.8813","0.8773","0.8853","0.8724","0.47%"
"May 12, 2019","0.8772","0.8645","0.8780","0.8622","1.50%"
"May 05, 2019","0.8642","0.8543","0.8650","0.8490","1.62%"
"Apr 28, 2019","0.8504","0.8630","0.8657","0.8496","-1.45%"
"Apr 21, 2019","0.8629","0.8655","0.8686","0.8618","-0.30%"
"Apr 14, 2019","0.8655","0.8643","0.8685","0.8618","0.19%"
"Apr 07, 2019","0.8639","0.8607","0.8660","0.8590","0.43%"
"Mar 31, 2019","0.8602","0.8612","0.8639","0.8501","-0.06%"
"Mar 24, 2019","0.8607","0.8567","0.8651","0.8482","0.51%"
"Mar 17, 2019","0.8563","0.8521","0.8724","0.8510","0.52%"
"Mar 10, 2019","0.8519","0.8634","0.8679","0.8469","-1.34%"
"Mar 03, 2019","0.8635","0.8618","0.8658","0.8538","0.22%"
"Feb 24, 2019","0.8616","0.8674","0.8702","0.8529","-0.85%"
"Feb 17, 2019","0.8690","0.8757","0.8771","0.8663","-0.82%"
"Feb 10, 2019","0.8762","0.8747","0.8842","0.8738","0.14%"
"Feb 03, 2019","0.8750","0.8757","0.8825","0.8727","-0.10%"
"Jan 27, 2019","0.8759","0.8647","0.8796","0.8630","1.35%"
"Jan 20, 2019","0.8642","0.8827","0.8865","0.8615","-2.08%"
"Jan 13, 2019","0.8826","0.8929","0.8987","0.8763","-1.11%"
"Jan 06, 2019","0.8925","0.8951","0.9064","0.8921","-0.31%"
"Dec 30, 2018","0.8953","0.9023","0.9134","0.8926","-0.57%"
"Dec 23, 2018","0.9004","0.8988","0.9062","0.8892","0.01%"
"Dec 16, 2018","0.9003","0.8981","0.9055","0.8961","0.17%"
"Dec 09, 2018","0.8988","0.8940","0.9091","0.8921","0.55%"
"Dec 02, 2018","0.8939","0.8864","0.8970","0.8860","0.77%"
"Nov 25, 2018","0.8871","0.8826","0.8927","0.8810","0.23%"
"Nov 18, 2018","0.8851","0.8901","0.8932","0.8832","-0.49%"
"Nov 11, 2018","0.8895","0.8745","0.8908","0.8654","1.82%"
"Nov 04, 2018","0.8736","0.8744","0.8775","0.8688","-0.48%"
"Oct 28, 2018","0.8778","0.8894","0.8942","0.8754","-1.24%"
"Oct 21, 2018","0.8888","0.8802","0.8898","0.8798","0.90%"
"Oct 14, 2018","0.8809","0.8802","0.8835","0.8750","0.22%"
"Oct 07, 2018","0.8790","0.8788","0.8808","0.8720","0.10%"
"Sep 30, 2018","0.8781","0.8907","0.8920","0.8775","-1.45%"
"Sep 23, 2018","0.8910","0.8984","0.9001","0.8869","-0.83%"
"Sep 16, 2018","0.8985","0.8894","0.8997","0.8845","0.94%"
"Sep 09, 2018","0.8901","0.8937","0.8960","0.8877","-0.44%"
"Sep 02, 2018","0.8940","0.8940","0.9054","0.8912","-0.12%"
"Aug 26, 2018","0.8951","0.9059","0.9103","0.8937","-1.01%"
"Aug 19, 2018","0.9042","0.8993","0.9055","0.8939","0.81%"
"Aug 12, 2018","0.8969","0.8921","0.8981","0.8892","0.36%"
"Aug 05, 2018","0.8937","0.8895","0.9032","0.8888","0.49%"
"Jul 29, 2018","0.8893","0.8905","0.8938","0.8853","0.02%"
"Jul 22, 2018","0.8891","0.8924","0.8941","0.8863","-0.36%"
"Jul 15, 2018","0.8923","0.8828","0.8961","0.8815","1.05%"
"Jul 08, 2018","0.8830","0.8826","0.8903","0.8811","-0.14%"
"Jul 01, 2018","0.8842","0.8844","0.8871","0.8798","-0.06%"
"Jun 24, 2018","0.8847","0.8788","0.8892","0.8780","0.72%"
"Jun 17, 2018","0.8784","0.8740","0.8808","0.8723","0.53%"
"Jun 10, 2018","0.8738","0.8779","0.8835","0.8717","-0.41%"
