"Date","Price","Open","High","Low","Change %"
"Dec 20","0.8851","0.9089","0.9096","0.8792","-2.63%"
"Nov 20","0.9090","0.9157","0.9208","0.8981","-0.84%"
"Oct 20","0.9167","0.9209","0.9219","0.9029","-0.43%"
"Sep 20","0.9207","0.9036","0.9299","0.8998","1.90%"
"Aug 20","0.9035","0.9113","0.9241","0.8999","-1.01%"
"Jul 20","0.9127","0.9473","0.9495","0.9056","-3.63%"
"Jun 20","0.9471","0.9615","0.9651","0.9374","-1.47%"
"May 20","0.9612","0.9657","0.9785","0.9588","-0.41%"
"Apr 20","0.9652","0.9610","0.9804","0.9595","0.46%"
"Mar 20","0.9608","0.9663","0.9905","0.9192","-0.47%"
"Feb 20","0.9653","0.9645","0.9850","0.9609","0.24%"
"Jan 20","0.9630","0.9681","0.9768","0.9612","-0.50%"
"Dec 19","0.9678","1.0006","1.0009","0.9645","-3.20%"
"Nov 19","0.9998","0.9864","1.0024","0.9850","1.37%"
"Oct 19","0.9863","0.9980","1.0029","0.9840","-1.15%"
"Sep 19","0.9978","0.9897","0.9989","0.9797","0.80%"
"Aug 19","0.9899","0.9941","0.9976","0.9659","-0.39%"
"Jul 19","0.9938","0.9790","0.9952","0.9781","1.82%"
"Jun 19","0.9760","1.0014","1.0020","0.9693","-2.48%"
"May 19","1.0008","1.0193","1.0227","1.0000","-1.79%"
"Apr 19","1.0190","0.9944","1.0237","0.9934","2.39%"
"Mar 19","0.9952","0.9984","1.0125","0.9894","-0.29%"
"Feb 19","0.9981","0.9941","1.0101","0.9921","0.41%"
"Jan 19","0.9940","0.9816","0.9995","0.9714","1.28%"
"Dec 18","0.9814","0.9970","1.0009","0.9790","-1.73%"
"Nov 18","0.9987","1.0085","1.0129","0.9908","-0.96%"
"Oct 18","1.0084","0.9801","1.0095","0.9798","2.70%"
"Sep 18","0.9819","0.9690","0.9822","0.9542","1.37%"
"Aug 18","0.9686","0.9902","0.9986","0.9652","-2.17%"
"Jul 18","0.9901","0.9907","1.0070","0.9857","-0.01%"
"Jun 18","0.9902","0.9858","0.9994","0.9787","0.46%"
"May 18","0.9857","0.9909","1.0061","0.9825","-0.48%"
"Apr 18","0.9905","0.9536","0.9922","0.9527","3.89%"
"Mar 18","0.9534","0.9446","0.9585","0.9338","0.95%"
"Feb 18","0.9444","0.9314","0.9471","0.9187","1.42%"
"Jan 18","0.9312","0.9745","0.9847","0.9288","-4.42%"
"Dec 17","0.9743","0.9836","0.9979","0.9733","-0.93%"
"Nov 17","0.9834","0.9976","1.0038","0.9778","-1.41%"
"Oct 17","0.9975","0.9682","1.0038","0.9680","3.05%"
"Sep 17","0.9680","0.9586","0.9771","0.9420","0.99%"
"Aug 17","0.9585","0.9669","0.9773","0.9430","-0.82%"
"Jul 17","0.9664","0.9587","0.9728","0.9438","0.87%"
"Jun 17","0.9581","0.9677","0.9771","0.9552","-0.98%"
"May 17","0.9676","0.9942","1.0101","0.9669","-2.75%"
"Apr 17","0.9950","1.0025","1.0108","0.9859","-0.79%"
"Mar 17","1.0029","1.0058","1.0172","0.9813","-0.27%"
"Feb 17","1.0056","0.9893","1.0143","0.9869","1.66%"
"Jan 17","0.9892","1.0203","1.0338","0.9859","-2.81%"
"Dec 16","1.0178","1.0168","1.0347","1.0020","0.06%"
"Nov 16","1.0172","0.9889","1.0207","0.9546","2.86%"
"Oct 16","0.9889","0.9724","1.0001","0.9694","1.80%"
"Sep 16","0.9714","0.9839","0.9887","0.9638","-1.24%"
"Aug 16","0.9836","0.9696","0.9865","0.9535","1.53%"
"Jul 16","0.9688","0.9761","0.9955","0.9635","-0.73%"
