"Date","Price","Open","High","Low","Change %"
"Dec 27, 2020","0.8851","0.8894","0.8920","0.8792","-0.43%"
"Dec 20, 2020","0.8889","0.8852","0.8921","0.8841","0.65%"
"Dec 13, 2020","0.8832","0.8888","0.8905","0.8821","-0.69%"
"Dec 06, 2020","0.8893","0.8898","0.8948","0.8850","-0.31%"
"Nov 29, 2020","0.8921","0.9049","0.9096","0.8884","-1.33%"
"Nov 22, 2020","0.9041","0.9112","0.9148","0.9039","-0.75%"
"Nov 15, 2020","0.9109","0.9128","0.9153","0.9087","-0.19%"
"Nov 08, 2020","0.9126","0.9000","0.9194","0.8982","1.34%"
"Nov 01, 2020","0.9005","0.9157","0.9208","0.8981","-1.77%"
"Oct 25, 2020","0.9167","0.9048","0.9175","0.9040","1.38%"
"Oct 18, 2020","0.9042","0.9151","0.9167","0.9029","-1.14%"
"Oct 11, 2020","0.9146","0.9100","0.9165","0.9086","0.49%"
"Oct 04, 2020","0.9101","0.9208","0.9209","0.9093","-1.17%"
"Sep 27, 2020","0.9209","0.9284","0.9299","0.9162","-0.81%"
"Sep 20, 2020","0.9284","0.9113","0.9298","0.9086","1.84%"
"Sep 13, 2020","0.9116","0.9095","0.9140","0.9050","0.33%"
"Sep 06, 2020","0.9086","0.9130","0.9201","0.9049","-0.49%"
"Aug 30, 2020","0.9131","0.9041","0.9165","0.8998","1.03%"
"Aug 23, 2020","0.9038","0.9118","0.9129","0.9024","-0.84%"
"Aug 16, 2020","0.9115","0.9097","0.9163","0.9010","0.28%"
"Aug 09, 2020","0.9090","0.9136","0.9202","0.9082","-0.36%"
"Aug 02, 2020","0.9123","0.9113","0.9241","0.9050","-0.04%"
"Jul 26, 2020","0.9127","0.9217","0.9231","0.9056","-0.88%"
"Jul 19, 2020","0.9208","0.9401","0.9412","0.9203","-1.90%"
"Jul 12, 2020","0.9387","0.9416","0.9469","0.9370","-0.25%"
"Jul 05, 2020","0.9410","0.9460","0.9464","0.9362","-0.51%"
"Jun 28, 2020","0.9459","0.9481","0.9534","0.9426","-0.24%"
"Jun 21, 2020","0.9481","0.9519","0.9531","0.9420","-0.45%"
"Jun 14, 2020","0.9524","0.9525","0.9549","0.9463","-0.01%"
"Jun 07, 2020","0.9524","0.9625","0.9640","0.9374","-1.06%"
"May 31, 2020","0.9626","0.9615","0.9651","0.9542","0.13%"
"May 24, 2020","0.9614","0.9717","0.9737","0.9601","-1.00%"
"May 17, 2020","0.9711","0.9720","0.9761","0.9638","-0.05%"
"May 10, 2020","0.9716","0.9711","0.9757","0.9664","0.08%"
"May 03, 2020","0.9708","0.9613","0.9785","0.9610","0.98%"
"Apr 26, 2020","0.9614","0.9739","0.9801","0.9588","-1.21%"
"Apr 19, 2020","0.9732","0.9672","0.9804","0.9654","0.60%"
"Apr 12, 2020","0.9673","0.9656","0.9725","0.9595","0.11%"
"Apr 05, 2020","0.9663","0.9771","0.9798","0.9639","-1.19%"
"Mar 29, 2020","0.9779","0.9525","0.9797","0.9502","2.79%"
"Mar 22, 2020","0.9513","0.9858","0.9901","0.9505","-3.58%"
"Mar 15, 2020","0.9866","0.9538","0.9905","0.9392","3.88%"
"Mar 08, 2020","0.9498","0.9375","0.9571","0.9193","1.32%"
"Mar 01, 2020","0.9374","0.9663","0.9663","0.9318","-2.91%"
