"Date","Price","Open","High","Low","Change %"
"Dec 20","103.24","104.32","104.76","102.88","-0.99%"
"Nov 20","104.27","104.57","105.69","103.17","-0.35%"
"Oct 20","104.64","105.46","106.12","104.03","-0.77%"
"Sep 20","105.45","105.93","106.57","104.00","-0.42%"
"Aug 20","105.89","105.89","107.06","105.10","0.01%"
"Jul 20","105.88","107.93","108.17","104.18","-1.89%"
"Jun 20","107.92","107.74","109.86","106.07","0.14%"
"May 20","107.77","107.18","108.09","105.98","0.56%"
"Apr 20","107.17","107.54","109.39","106.36","-0.33%"
"Mar 20","107.53","107.39","111.72","101.18","-0.50%"
"Feb 20","108.07","108.41","112.22","107.50","-0.29%"
"Jan 20","108.38","108.63","110.29","107.64","-0.21%"
"Dec 19","108.61","109.54","109.74","108.43","-0.82%"
"Nov 19","109.51","108.07","109.68","107.89","1.38%"
"Oct 19","108.02","108.08","109.29","106.48","-0.04%"
"Sep 19","108.06","106.25","108.48","105.74","1.67%"
"Aug 19","106.29","108.79","109.32","104.46","-2.25%"
"Jul 19","108.74","108.11","109.00","107.21","0.80%"
"Jun 19","107.88","108.38","108.81","106.78","-0.35%"
"May 19","108.26","111.43","111.69","108.27","-2.83%"
"Apr 19","111.41","110.81","112.41","110.81","0.51%"
"Mar 19","110.84","111.39","112.14","109.71","-0.48%"
"Feb 19","111.37","108.88","111.50","108.72","2.30%"
"Jan 19","108.87","109.57","110.00","104.97","-0.63%"
"Dec 18","109.56","113.47","113.86","109.55","-3.44%"
"Nov 18","113.46","112.94","114.21","112.30","0.47%"
"Oct 18","112.93","113.69","114.56","111.38","-0.66%"
"Sep 18","113.68","111.08","113.71","110.38","2.40%"
"Aug 18","111.02","111.88","112.15","109.77","-0.75%"
"Jul 18","111.86","110.68","113.17","110.28","1.08%"
"Jun 18","110.66","108.82","110.94","108.71","1.70%"
"May 18","108.81","109.35","111.40","108.11","-0.48%"
"Apr 18","109.33","106.25","109.54","105.65","2.89%"
"Mar 18","106.26","106.68","107.31","104.56","-0.38%"
"Feb 18","106.67","109.20","110.49","105.54","-2.29%"
"Jan 18","109.17","112.67","113.39","108.28","-3.11%"
"Dec 17","112.67","112.54","113.76","111.42","0.13%"
"Nov 17","112.52","113.64","114.74","110.84","-0.97%"
"Oct 17","113.62","112.56","114.45","111.65","1.02%"
"Sep 17","112.47","109.97","113.26","107.32","2.28%"
"Aug 17","109.96","110.25","111.06","108.26","-0.26%"
"Jul 17","110.25","112.14","114.51","110.20","-1.87%"
"Jun 17","112.35","110.76","112.93","108.82","1.44%"
"May 17","110.75","111.31","114.38","110.22","-0.70%"
"Apr 17","111.53","111.39","111.79","108.13","0.13%"
"Mar 17","111.38","112.78","115.51","110.11","-1.22%"
"Feb 17","112.75","112.81","114.97","111.59","-0.03%"
"Jan 17","112.78","117.00","118.62","112.06","-3.50%"
"Dec 16","116.87","114.44","118.68","112.86","2.12%"
"Nov 16","114.44","104.82","114.55","101.18","9.19%"
"Oct 16","104.81","101.36","105.54","101.21","3.43%"
"Sep 16","101.33","103.43","104.33","100.09","-2.02%"
"Aug 16","103.42","102.07","103.54","99.54","1.34%"
"Jul 16","102.05","103.29","107.49","100.04","-1.16%"
"Jun 16","103.25","110.71","110.83","99.10","-6.71%"
"May 16","110.68","106.30","111.45","105.54","4.07%"
"Apr 16","106.35","112.57","112.60","106.28","-5.52%"
"Mar 16","112.56","112.68","114.57","110.67","-0.09%"
"Feb 16","112.66","121.11","121.49","111.00","-6.92%"
"Jan 16","121.03","120.29","121.69","115.97","0.61%"
"Dec 15","120.30","123.11","123.68","120.00","-2.26%"
"Nov 15","123.08","120.66","123.69","120.25","2.05%"
"Oct 15","120.61","119.88","121.53","118.06","0.64%"
"Sep 15","119.84","121.22","121.33","118.68","-1.14%"
"Aug 15","121.22","124.03","125.30","116.46","-2.18%"
"Jul 15","123.92","122.49","124.60","120.40","1.17%"
"Jun 15","122.49","124.13","125.86","121.93","-1.31%"
"May 15","124.11","119.38","124.47","118.88","4.00%"
"Apr 15","119.34","120.13","120.86","118.49","-0.65%"
"Mar 15","120.12","119.64","122.04","118.32","0.51%"
"Feb 15","119.51","117.47","120.49","116.67","1.76%"
"Jan 15","117.44","119.69","120.75","115.84","-1.87%"
"Dec 14","119.68","118.71","121.86","115.57","0.90%"
"Nov 14","118.61","112.47","118.98","112.43","5.62%"
"Oct 14","112.30","109.64","112.48","105.19","2.43%"
"Sep 14","109.64","104.06","109.86","104.05","5.37%"
"Aug 14","104.05","102.79","104.45","101.50","1.23%"
"Jul 14","102.79","101.34","103.10","101.06","1.47%"
"Jun 14","101.30","101.83","102.81","101.23","-0.47%"
"May 14","101.78","102.24","103.04","100.82","-0.45%"
"Apr 14","102.24","103.21","104.14","101.32","-0.92%"
"Mar 14","103.19","101.55","103.76","101.19","1.37%"
"Feb 14","101.80","102.03","102.83","100.75","-0.23%"
"Jan 14","102.03","105.29","105.46","101.78","-3.11%"
"Dec 13","105.30","102.45","105.43","101.63","2.82%"
"Nov 13","102.41","98.36","102.62","97.64","4.13%"
"Oct 13","98.35","98.21","99.01","96.57","0.14%"
"Sep 13","98.21","98.38","100.61","97.50","0.06%"
"Aug 13","98.15","97.88","99.96","95.80","0.30%"
"Jul 13","97.86","99.29","101.54","97.57","-1.27%"
"Jun 13","99.12","100.57","100.76","93.79","-1.33%"
"May 13","100.46","97.44","103.75","97.04","3.13%"
"Apr 13","97.41","94.21","99.96","92.56","3.42%"
"Mar 13","94.19","92.56","96.72","92.43","1.79%"
"Feb 13","92.53","91.71","94.78","90.94","0.88%"
"Jan 13","91.72","86.75","91.79","86.53","5.74%"
"Dec 12","86.74","82.37","86.80","81.71","5.20%"
"Nov 12","82.45","79.76","82.85","79.07","3.37%"
"Oct 12","79.76","77.92","80.40","77.78","2.39%"
"Sep 12","77.90","78.39","79.24","77.13","-0.60%"
"Aug 12","78.37","78.12","79.68","77.92","0.33%"
"Jul 12","78.11","79.91","80.12","77.96","-2.08%"
"Jun 12","79.77","78.38","80.63","77.66","1.81%"
"May 12","78.35","79.82","80.62","78.21","-1.79%"
"Apr 12","79.78","82.31","83.31","79.72","-3.64%"
"Mar 12","82.79","81.14","84.20","80.58","1.93%"
"Feb 12","81.22","76.23","81.63","76.01","6.60%"
"Jan 12","76.19","76.93","78.31","76.14","-0.97%"
"Dec 11","76.94","77.57","78.25","76.89","-0.72%"
"Nov 11","77.50","78.14","78.64","76.57","-0.90%"
"Oct 11","78.20","77.14","79.54","75.57","1.51%"
"Sep 11","77.04","76.66","77.87","76.11","0.59%"
"Aug 11","76.59","77.41","80.25","75.96","-0.18%"
"Jul 11","76.73","80.51","81.50","76.74","-4.71%"
"Jun 11","80.52","81.49","81.54","79.68","-1.23%"
"May 11","81.52","81.11","82.25","79.57","0.38%"
"Apr 11","81.21","83.20","85.57","81.04","-2.33%"
"Mar 11","83.15","81.80","83.31","76.64","1.68%"
"Feb 11","81.78","82.07","84.00","81.11","-0.37%"
"Jan 11","82.08","81.19","83.68","80.95","1.12%"
"Dec 10","81.17","83.69","84.53","80.94","-3.01%"
"Nov 10","83.69","80.31","84.42","80.24","4.10%"
"Oct 10","80.39","83.50","83.98","80.38","-3.69%"
"Sep 10","83.47","84.17","85.94","82.86","-0.83%"
"Aug 10","84.17","86.39","86.89","83.58","-2.66%"
"Jul 10","86.47","88.37","89.17","85.95","-2.19%"
"Jun 10","88.41","91.20","92.91","88.28","-3.11%"
"May 10","91.25","93.92","94.98","88.00","-2.75%"
"Apr 10","93.83","93.45","94.78","91.61","0.39%"
"Mar 10","93.47","88.83","93.64","88.11","5.18%"
"Feb 10","88.87","89.81","92.16","88.56","-1.59%"
"Jan 10","90.31","92.98","93.78","89.12","-2.81%"
