"Date","Price","Open","High","Low","Change %"
"Dec 27, 2020","103.20","103.54","103.90","102.96","-0.27%"
"Dec 20, 2020","103.48","103.39","103.89","103.25","0.16%"
"Dec 13, 2020","103.31","104.00","104.15","102.88","-0.67%"
"Dec 06, 2020","104.01","104.14","104.59","103.82","-0.12%"
"Nov 29, 2020","104.14","104.07","104.76","103.67","0.04%"
"Nov 22, 2020","104.10","103.86","104.77","103.68","0.24%"
"Nov 15, 2020","103.85","104.89","105.14","103.64","-0.74%"
"Nov 08, 2020","104.62","103.35","105.69","103.19","1.25%"
"Nov 01, 2020","103.33","104.57","105.35","103.17","-1.25%"
"Oct 25, 2020","104.64","104.75","105.07","104.03","-0.05%"
"Oct 18, 2020","104.69","105.39","105.75","104.33","-0.67%"
"Oct 11, 2020","105.40","105.71","105.89","105.04","-0.18%"
"Oct 04, 2020","105.59","105.29","106.12","105.29","0.25%"
"Sep 27, 2020","105.33","105.51","105.81","104.93","-0.26%"
"Sep 20, 2020","105.60","104.44","105.71","104.00","1.00%"
"Sep 13, 2020","104.55","106.17","106.21","104.26","-1.50%"
"Sep 06, 2020","106.14","106.28","106.39","105.78","-0.08%"
"Aug 30, 2020","106.23","105.36","106.57","105.29","0.84%"
"Aug 23, 2020","105.34","105.86","106.96","105.19","-0.42%"
"Aug 16, 2020","105.78","106.63","106.67","105.10","-0.76%"
"Aug 09, 2020","106.59","105.96","107.06","105.71","0.64%"
"Aug 02, 2020","105.91","105.89","106.48","105.29","0.03%"
"Jul 26, 2020","105.88","105.97","106.21","104.18","-0.24%"
"Jul 19, 2020","106.14","107.11","107.53","105.68","-0.81%"
"Jul 12, 2020","107.00","106.90","107.44","106.66","0.09%"
"Jul 05, 2020","106.90","107.50","107.80","106.64","-0.56%"
"Jun 28, 2020","107.51","107.19","108.17","107.04","0.27%"
"Jun 21, 2020","107.22","106.90","107.46","106.07","0.32%"
"Jun 14, 2020","106.89","107.33","107.64","106.67","-0.44%"
"Jun 07, 2020","107.36","109.68","109.70","106.57","-2.04%"
"May 31, 2020","109.59","107.74","109.86","107.38","1.67%"
"May 24, 2020","107.79","107.58","107.96","107.07","0.15%"
"May 17, 2020","107.63","107.08","108.09","107.04","0.55%"
"May 10, 2020","107.04","106.64","107.78","106.54","0.35%"
"May 03, 2020","106.67","106.82","107.08","105.98","-0.26%"
"Apr 26, 2020","106.94","107.49","107.64","106.36","-0.53%"
"Apr 19, 2020","107.51","107.57","108.04","107.28","-0.01%"
"Apr 12, 2020","107.53","108.54","108.54","106.93","-0.88%"
"Apr 05, 2020","108.47","108.43","109.39","108.21","0.01%"
"Mar 29, 2020","108.46","107.89","108.74","106.91","0.52%"
"Mar 22, 2020","107.90","111.04","111.72","107.75","-2.63%"
"Mar 15, 2020","110.82","107.93","111.52","105.14","2.68%"
"Mar 08, 2020","107.92","104.91","108.50","101.19","2.48%"
"Mar 01, 2020","105.31","107.39","108.58","105.00","-2.56%"
