"Date","Price","Open","High","Low","Change %"
"Jan 01, 2010","0.9440","0.9450","0.9459","0.9434","0.05%"
"Jan 04, 2010","0.9507","0.9451","0.9510","0.9362","0.71%"
"Jan 05, 2010","0.9481","0.9510","0.9524","0.9455","-0.27%"
"Jan 06, 2010","0.9494","0.9470","0.9519","0.9459","0.14%"
"Jan 07, 2010","0.9487","0.9488","0.9548","0.9456","-0.07%"
"Jan 08, 2010","0.9525","0.9491","0.9545","0.9429","0.40%"
"Jan 11, 2010","0.9630","0.9553","0.9634","0.9538","1.10%"
"Jan 12, 2010","0.9569","0.9605","0.9622","0.9533","-0.63%"
"Jan 13, 2010","0.9530","0.9552","0.9608","0.9495","-0.41%"
"Jan 14, 2010","0.9533","0.9519","0.9608","0.9493","0.03%"
"Jan 15, 2010","0.9504","0.9533","0.9544","0.9466","-0.30%"
"Jan 18, 2010","0.9508","0.9481","0.9523","0.9451","0.04%"
"Jan 19, 2010","0.9536","0.9503","0.9560","0.9451","0.29%"
"Jan 20, 2010","0.9508","0.9515","0.9581","0.9461","-0.29%"
"Jan 21, 2010","0.9478","0.9516","0.9578","0.9469","-0.32%"
"Jan 22, 2010","0.9534","0.9468","0.9580","0.9445","0.59%"
"Jan 25, 2010","0.9570","0.9551","0.9602","0.9525","0.38%"
"Jan 26, 2010","0.9550","0.9559","0.9587","0.9495","-0.21%"
"Jan 27, 2010","0.9523","0.9548","0.9612","0.9509","-0.28%"
"Jan 28, 2010","0.9532","0.9526","0.9571","0.9503","0.09%"
"Jan 29, 2010","0.9464","0.9541","0.9552","0.9443","-0.71%"
"Feb 01, 2010","0.9468","0.9419","0.9479","0.9412","0.04%"
"Feb 02, 2010","0.9382","0.9456","0.9474","0.9285","-0.91%"
"Feb 03, 2010","0.9375","0.9369","0.9419","0.9342","-0.07%"
"Feb 04, 2010","0.9270","0.9374","0.9386","0.9247","-1.12%"
"Feb 05, 2010","0.9284","0.9277","0.9327","0.9226","0.15%"
"Feb 08, 2010","0.9299","0.9278","0.9311","0.9248","0.16%"
"Feb 09, 2010","0.9377","0.9287","0.9397","0.9268","0.84%"
"Feb 10, 2010","0.9301","0.9370","0.9387","0.9285","-0.81%"
"Feb 11, 2010","0.9365","0.9305","0.9420","0.9277","0.69%"
"Feb 12, 2010","0.9325","0.9351","0.9368","0.9269","-0.43%"
"Feb 15, 2010","0.9328","0.9329","0.9346","0.9296","0.03%"
"Feb 16, 2010","0.9420","0.9319","0.9424","0.9311","0.99%"
"Feb 17, 2010","0.9411","0.9412","0.9435","0.9383","-0.10%"
"Feb 18, 2010","0.9393","0.9406","0.9413","0.9361","-0.19%"
"Feb 19, 2010","0.9346","0.9363","0.9396","0.9317","-0.50%"
"Feb 22, 2010","0.9389","0.9354","0.9390","0.9323","0.46%"
"Feb 23, 2010","0.9399","0.9385","0.9427","0.9369","0.11%"
"Feb 24, 2010","0.9419","0.9410","0.9441","0.9367","0.21%"
"Feb 25, 2010","0.9422","0.9407","0.9430","0.9365","0.03%"
"Feb 26, 2010","0.9427","0.9413","0.9477","0.9395","0.05%"
"Mar 01, 2010","0.9392","0.9448","0.9476","0.9365","-0.37%"
"Mar 02, 2010","0.9361","0.9381","0.9410","0.9312","-0.33%"
"Mar 03, 2010","0.9338","0.9358","0.9380","0.9307","-0.25%"
"Mar 04, 2010","0.9288","0.9341","0.9348","0.9250","-0.54%"
"Mar 05, 2010","0.9349","0.9281","0.9365","0.9256","0.66%"
"Mar 08, 2010","0.9347","0.9333","0.9382","0.9325","-0.02%"
"Mar 09, 2010","0.9381","0.9343","0.9385","0.9325","0.36%"
"Mar 10, 2010","0.9380","0.9379","0.9420","0.9367","-0.01%"
"Mar 11, 2010","0.9374","0.9377","0.9422","0.9347","-0.06%"
"Mar 12, 2010","0.9323","0.9369","0.9405","0.9299","-0.54%"
"Mar 15, 2010","0.9317","0.9334","0.9340","0.9286","-0.06%"
"Mar 16, 2010","0.9325","0.9314","0.9331","0.9267","0.09%"
"Mar 17, 2010","0.9320","0.9324","0.9351","0.9297","-0.05%"
"Mar 18, 2010","0.9341","0.9324","0.9347","0.9287","0.23%"
"Mar 19, 2010","0.9313","0.9329","0.9382","0.9252","-0.30%"
"Mar 22, 2010","0.9344","0.9291","0.9369","0.9256","0.33%"
"Mar 23, 2010","0.9337","0.9343","0.9362","0.9315","-0.07%"
"Mar 24, 2010","0.9307","0.9338","0.9350","0.9292","-0.32%"
"Mar 25, 2010","0.9301","0.9304","0.9338","0.9277","-0.06%"
"Mar 26, 2010","0.9286","0.9295","0.9322","0.9257","-0.16%"
"Mar 29, 2010","0.9368","0.9272","0.9376","0.9263","0.88%"
"Mar 30, 2010","0.9369","0.9361","0.9390","0.9338","0.01%"
"Mar 31, 2010","0.9307","0.9365","0.9374","0.9266","-0.66%"
"Apr 01, 2010","0.9287","0.9311","0.9323","0.9250","-0.21%"
"Apr 02, 2010","0.9299","0.9278","0.9321","0.9266","0.13%"
"Apr 05, 2010","0.9232","0.9260","0.9292","0.9213","-0.72%"
