"Date","Price","Open","High","Low","Change %"
"Dec 31, 2021","130.82","130.33","131.06","130.15","0.42%"
"Dec 30, 2021","130.27","130.49","130.60","130.10","-0.12%"
"Dec 29, 2021","130.43","129.88","130.55","129.61","0.45%"
"Dec 28, 2021","129.84","130.10","130.24","129.60","-0.18%"
"Dec 27, 2021","130.07","129.47","130.18","129.35","0.46%"
"Dec 24, 2021","129.48","129.60","129.79","129.25","-0.07%"
"Dec 23, 2021","129.57","129.24","129.76","129.04","0.27%"
"Dec 22, 2021","129.22","128.69","129.52","128.54","0.39%"
"Dec 21, 2021","128.72","128.10","128.79","128.03","0.52%"
"Dec 20, 2021","128.06","127.72","128.34","127.50","0.25%"
"Dec 17, 2021","127.74","128.84","129.00","127.75","-0.82%"
"Dec 16, 2021","128.80","128.70","129.66","128.44","0.10%"
"Dec 15, 2021","128.67","128.04","128.84","127.97","0.52%"
"Dec 14, 2021","128.00","128.16","128.61","127.98","-0.10%"
"Dec 13, 2021","128.13","128.31","128.49","128.00","-0.09%"
"Dec 10, 2021","128.24","128.13","128.43","127.81","0.11%"
"Dec 09, 2021","128.10","128.93","129.09","127.92","-0.63%"
"Dec 08, 2021","128.91","127.98","129.19","127.81","0.75%"
"Dec 07, 2021","127.95","128.07","128.50","127.58","-0.07%"
"Dec 06, 2021","128.04","127.61","128.12","127.50","0.34%"
"Dec 03, 2021","127.61","127.89","128.37","127.37","-0.19%"
"Dec 02, 2021","127.85","127.66","128.26","127.54","0.18%"
"Dec 01, 2021","127.62","128.31","128.82","127.56","-0.48%"
"Nov 30, 2021","128.24","128.18","128.62","127.60","0.09%"
"Nov 29, 2021","128.13","128.30","128.77","127.48","-0.07%"
"Nov 26, 2021","128.22","129.29","129.37","127.79","-0.80%"
"Nov 25, 2021","129.26","129.27","129.55","129.23","0.03%"
"Nov 24, 2021","129.22","129.51","129.59","128.68","-0.19%"
"Nov 23, 2021","129.46","129.09","129.63","128.89","0.33%"
"Nov 22, 2021","129.03","128.65","129.35","128.54","0.29%"
"Nov 19, 2021","128.66","129.92","130.00","127.96","-0.95%"
"Nov 18, 2021","129.89","129.12","129.97","129.07","0.60%"
"Nov 17, 2021","129.12","129.99","130.10","129.02","-0.65%"
"Nov 16, 2021","129.96","129.75","130.14","129.65","0.19%"
"Nov 15, 2021","129.71","130.45","130.63","129.67","-0.50%"
"Nov 12, 2021","130.36","130.62","130.79","130.24","-0.18%"
"Nov 11, 2021","130.59","130.79","131.01","130.43","-0.11%"
"Nov 10, 2021","130.73","130.85","131.45","130.63","-0.05%"
"Nov 09, 2021","130.80","131.23","131.29","130.66","-0.30%"
"Nov 08, 2021","131.19","131.21","131.45","130.88","0.02%"
"Nov 05, 2021","131.16","131.45","131.63","130.82","-0.20%"
"Nov 04, 2021","131.42","132.37","132.60","131.01","-0.69%"
"Nov 03, 2021","132.33","131.95","132.43","131.72","0.31%"
"Nov 02, 2021","131.92","132.30","132.41","131.46","-0.26%"
"Nov 01, 2021","132.26","131.79","132.47","131.78","0.35%"
"Oct 29, 2021","131.80","132.66","132.94","131.59","-0.63%"
"Oct 28, 2021","132.63","132.10","132.73","131.55","0.42%"
"Oct 27, 2021","132.07","132.38","132.54","131.57","-0.19%"
"Oct 26, 2021","132.32","131.99","132.69","131.95","0.27%"
"Oct 25, 2021","131.96","132.33","132.63","131.85","-0.14%"
"Oct 22, 2021","132.15","132.49","132.82","131.90","-0.22%"
"Oct 21, 2021","132.44","133.13","133.39","132.25","-0.50%"
"Oct 20, 2021","133.10","133.06","133.50","132.73","0.06%"
"Oct 19, 2021","133.02","132.74","133.21","132.60","0.24%"
"Oct 18, 2021","132.70","132.51","132.82","132.13","0.17%"
"Oct 15, 2021","132.47","131.82","132.81","131.79","0.52%"
"Oct 14, 2021","131.78","131.32","131.88","131.26","0.40%"
"Oct 13, 2021","131.26","130.99","131.49","130.87","0.24%"
"Oct 12, 2021","130.95","130.94","131.29","130.74","0.06%"
"Oct 11, 2021","130.87","129.95","131.25","129.76","0.82%"
"Oct 08, 2021","129.80","128.95","129.93","128.91","0.71%"
"Oct 07, 2021","128.89","128.77","129.05","128.62","0.11%"
"Oct 06, 2021","128.75","129.29","129.52","128.32","-0.38%"
"Oct 05, 2021","129.24","128.93","129.40","128.74","0.28%"
"Oct 04, 2021","128.88","128.76","129.40","128.51","0.10%"
"Oct 01, 2021","128.75","128.89","129.07","128.54","-0.09%"
"Sep 30, 2021","128.86","129.84","129.98","128.78","-0.74%"
"Sep 29, 2021","129.82","130.26","130.49","129.67","-0.32%"
"Sep 28, 2021","130.24","129.83","130.40","129.66","0.35%"
