"Date","Price","Open","High","Low","Change %"
"Dec 31, 2021","1.8630","1.8613","1.8661","1.8564","0.12%"
"Dec 30, 2021","1.8607","1.8599","1.8629","1.8537","0.08%"
"Dec 29, 2021","1.8593","1.8586","1.8621","1.8542","0.06%"
"Dec 28, 2021","1.8581","1.8580","1.8600","1.8515","0.11%"
"Dec 27, 2021","1.8561","1.8536","1.8610","1.8506","0.22%"
"Dec 24, 2021","1.8521","1.8507","1.8574","1.8494","0.09%"
"Dec 23, 2021","1.8504","1.8507","1.8580","1.8472","0.02%"
"Dec 22, 2021","1.8500","1.8553","1.8612","1.8485","-0.20%"
"Dec 21, 2021","1.8537","1.8570","1.8613","1.8526","-0.13%"
"Dec 20, 2021","1.8562","1.8592","1.8652","1.8519","-0.08%"
"Dec 17, 2021","1.8577","1.8545","1.8626","1.8535","0.22%"
"Dec 16, 2021","1.8537","1.8500","1.8564","1.8413","0.20%"
"Dec 15, 2021","1.8500","1.8642","1.8649","1.8478","-0.72%"
"Dec 14, 2021","1.8635","1.8539","1.8640","1.8506","0.55%"
"Dec 13, 2021","1.8533","1.8578","1.8634","1.8456","0.18%"
"Dec 10, 2021","1.8499","1.8490","1.8534","1.8415","0.07%"
"Dec 09, 2021","1.8486","1.8412","1.8504","1.8382","0.39%"
"Dec 08, 2021","1.8415","1.8604","1.8619","1.8391","-0.98%"
"Dec 07, 2021","1.8598","1.8815","1.8850","1.8579","-1.14%"
"Dec 06, 2021","1.8812","1.8910","1.8932","1.8767","-0.43%"
"Dec 03, 2021","1.8893","1.8759","1.8929","1.8728","0.74%"
"Dec 02, 2021","1.8754","1.8688","1.8793","1.8665","0.40%"
"Dec 01, 2021","1.8679","1.8664","1.8699","1.8570","0.14%"
"Nov 30, 2021","1.8652","1.8635","1.8793","1.8621","0.12%"
"Nov 29, 2021","1.8629","1.8748","1.8757","1.8622","-0.44%"
"Nov 26, 2021","1.8712","1.8523","1.8785","1.8497","1.03%"
"Nov 25, 2021","1.8521","1.8518","1.8570","1.8499","0.05%"
"Nov 24, 2021","1.8511","1.8508","1.8577","1.8492","0.06%"
"Nov 23, 2021","1.8500","1.8542","1.8563","1.8489","-0.22%"
"Nov 22, 2021","1.8541","1.8598","1.8614","1.8470","-0.26%"
"Nov 19, 2021","1.8590","1.8538","1.8602","1.8482","0.29%"
"Nov 18, 2021","1.8537","1.8553","1.8605","1.8495","-0.07%"
"Nov 17, 2021","1.8550","1.8387","1.8578","1.8375","0.92%"
"Nov 16, 2021","1.8381","1.8266","1.8408","1.8224","0.66%"
"Nov 15, 2021","1.8261","1.8296","1.8339","1.8206","-0.15%"
"Nov 12, 2021","1.8289","1.8340","1.8375","1.8273","-0.25%"
"Nov 11, 2021","1.8334","1.8294","1.8374","1.8276","0.26%"
"Nov 10, 2021","1.8287","1.8377","1.8433","1.8269","-0.43%"
"Nov 09, 2021","1.8366","1.8265","1.8401","1.8252","0.55%"
"Nov 08, 2021","1.8266","1.8235","1.8297","1.8183","0.21%"
"Nov 05, 2021","1.8228","1.8242","1.8284","1.8199","-0.05%"
