"Date","Price","Open","High","Low","Change %"
"Jan 01, 2010","1.7012","1.7018","1.7031","1.6985","0.15%"
"Jan 04, 2010","1.6768","1.7004","1.7011","1.6677","-1.43%"
"Jan 05, 2010","1.6635","1.6753","1.6784","1.6563","-0.79%"
"Jan 06, 2010","1.6535","1.6601","1.6693","1.6489","-0.60%"
"Jan 07, 2010","1.6488","1.6519","1.6562","1.6396","-0.28%"
"Jan 08, 2010","1.6513","1.6475","1.6643","1.6454","0.15%"
"Jan 11, 2010","1.6647","1.6520","1.6712","1.6481","0.81%"
"Jan 12, 2010","1.6816","1.6643","1.6827","1.6582","1.02%"
"Jan 13, 2010","1.6794","1.6787","1.6901","1.6758","-0.13%"
"Jan 14, 2010","1.6711","1.6774","1.6822","1.6692","-0.49%"
"Jan 15, 2010","1.6741","1.6712","1.6785","1.6660","0.18%"
"Jan 18, 2010","1.6763","1.6742","1.6819","1.6713","0.13%"
"Jan 19, 2010","1.6873","1.6755","1.6921","1.6746","0.66%"
"Jan 20, 2010","1.7035","1.6875","1.7098","1.6838","0.96%"
"Jan 21, 2010","1.7043","1.7045","1.7059","1.6921","0.05%"
"Jan 22, 2010","1.7037","1.7033","1.7084","1.6955","-0.04%"
"Jan 25, 2010","1.7187","1.7033","1.7209","1.6982","0.88%"
"Jan 26, 2010","1.7152","1.7172","1.7251","1.7105","-0.20%"
"Jan 27, 2010","1.7201","1.7152","1.7291","1.7125","0.29%"
"Jan 28, 2010","1.7198","1.7221","1.7241","1.7093","-0.02%"
"Jan 29, 2010","1.7122","1.7205","1.7264","1.7036","-0.44%"
"Feb 01, 2010","1.6946","1.7066","1.7094","1.6912","-1.03%"
"Feb 02, 2010","1.6910","1.6931","1.6961","1.6812","-0.21%"
"Feb 03, 2010","1.6888","1.6891","1.6961","1.6852","-0.13%"
"Feb 04, 2010","1.6894","1.6879","1.6944","1.6808","0.04%"
"Feb 05, 2010","1.6723","1.6917","1.6942","1.6682","-1.01%"
"Feb 08, 2010","1.6769","1.6661","1.6777","1.6616","0.28%"
"Feb 09, 2010","1.6782","1.6745","1.6826","1.6629","0.08%"
"Feb 10, 2010","1.6563","1.6759","1.6806","1.6523","-1.30%"
"Feb 11, 2010","1.6495","1.6572","1.6592","1.6442","-0.41%"
"Feb 12, 2010","1.6487","1.6490","1.6549","1.6393","-0.05%"
"Feb 15, 2010","1.6425","1.6474","1.6493","1.6390","-0.38%"
"Feb 16, 2010","1.6488","1.6420","1.6502","1.6315","0.38%"
"Feb 17, 2010","1.6393","1.6475","1.6510","1.6374","-0.58%"
"Feb 18, 2010","1.6273","1.6396","1.6423","1.6243","-0.73%"
"Feb 19, 2010","1.6086","1.6240","1.6285","1.6057","-1.15%"
"Feb 22, 2010","1.6147","1.6063","1.6174","1.6030","0.38%"
"Feb 23, 2010","1.6277","1.6147","1.6331","1.6050","0.81%"
"Feb 24, 2010","1.6247","1.6286","1.6354","1.6213","-0.18%"
"Feb 25, 2010","1.6191","1.6230","1.6322","1.6113","-0.34%"
"Feb 26, 2010","1.6050","1.6180","1.6212","1.6017","-0.87%"
"Mar 01, 2010","1.5629","1.5982","1.6006","1.5580","-2.62%"
"Mar 02, 2010","1.5505","1.5604","1.5626","1.5383","-0.79%"
"Mar 03, 2010","1.5577","1.5499","1.5601","1.5474","0.46%"
"Mar 04, 2010","1.5503","1.5579","1.5595","1.5463","-0.48%"
"Mar 05, 2010","1.5592","1.5499","1.5618","1.5410","0.57%"
"Mar 08, 2010","1.5484","1.5560","1.5620","1.5448","-0.69%"
"Mar 09, 2010","1.5401","1.5484","1.5494","1.5330","-0.54%"
"Mar 10, 2010","1.5367","1.5388","1.5426","1.5265","-0.22%"
"Mar 11, 2010","1.5429","1.5346","1.5498","1.5319","0.40%"
"Mar 12, 2010","1.5466","1.5423","1.5520","1.5366","0.24%"
"Mar 15, 2010","1.5335","1.5431","1.5462","1.5293","-0.85%"
"Mar 16, 2010","1.5464","1.5336","1.5481","1.5265","0.84%"
"Mar 17, 2010","1.5466","1.5456","1.5557","1.5396","0.01%"
"Mar 18, 2010","1.5468","1.5465","1.5512","1.5387","0.01%"
"Mar 19, 2010","1.5272","1.5460","1.5513","1.5209","-1.27%"
"Mar 22, 2010","1.5375","1.5227","1.5415","1.5168","0.67%"
"Mar 23, 2010","1.5284","1.5375","1.5389","1.5262","-0.59%"
