"Date","Price","Open","High","Low","Change %"
"Dec 31, 2021","1.9814","1.9754","1.9822","1.9710","0.35%"
"Dec 30, 2021","1.9745","1.9749","1.9792","1.9702","0.05%"
"Dec 29, 2021","1.9735","1.9721","1.9784","1.9711","0.12%"
"Dec 28, 2021","1.9712","1.9737","1.9780","1.9690","-0.11%"
"Dec 27, 2021","1.9733","1.9639","1.9766","1.9588","0.50%"
"Dec 24, 2021","1.9635","1.9638","1.9703","1.9592","-0.01%"
"Dec 23, 2021","1.9637","1.9615","1.9745","1.9550","0.18%"
"Dec 22, 2021","1.9601","1.9631","1.9663","1.9568","-0.01%"
"Dec 21, 2021","1.9602","1.9675","1.9698","1.9577","-0.31%"
"Dec 20, 2021","1.9662","1.9656","1.9710","1.9591","0.12%"
"Dec 17, 2021","1.9638","1.9595","1.9697","1.9576","0.28%"
"Dec 16, 2021","1.9584","1.9555","1.9621","1.9455","0.16%"
"Dec 15, 2021","1.9553","1.9624","1.9700","1.9534","-0.32%"
"Dec 14, 2021","1.9615","1.9570","1.9633","1.9527","0.27%"
"Dec 13, 2021","1.9562","1.9513","1.9640","1.9445","0.27%"
"Dec 10, 2021","1.9510","1.9455","1.9534","1.9435","0.32%"
"Dec 09, 2021","1.9448","1.9392","1.9491","1.9353","0.28%"
"Dec 08, 2021","1.9394","1.9503","1.9566","1.9372","-0.51%"
"Dec 07, 2021","1.9494","1.9646","1.9696","1.9492","-0.74%"
"Dec 06, 2021","1.9639","1.9561","1.9672","1.9526","0.10%"
"Dec 03, 2021","1.9619","1.9534","1.9640","1.9485","0.56%"
"Dec 02, 2021","1.9510","1.9504","1.9599","1.9461","0.09%"
"Dec 01, 2021","1.9493","1.9491","1.9523","1.9393","0.05%"
"Nov 30, 2021","1.9483","1.9511","1.9641","1.9451","-0.10%"
"Nov 29, 2021","1.9502","1.9540","1.9607","1.9480","-0.23%"
"Nov 26, 2021","1.9546","1.9421","1.9615","1.9414","0.68%"
"Nov 25, 2021","1.9414","1.9385","1.9467","1.9349","0.22%"
"Nov 24, 2021","1.9372","1.9260","1.9432","1.9229","0.69%"
"Nov 23, 2021","1.9240","1.9252","1.9339","1.9196","-0.04%"
"Nov 22, 2021","1.9247","1.9189","1.9274","1.9136","0.35%"
"Nov 19, 2021","1.9179","1.9170","1.9236","1.9136","0.05%"
"Nov 18, 2021","1.9169","1.9266","1.9296","1.9124","-0.44%"
"Nov 17, 2021","1.9254","1.9207","1.9294","1.9148","0.31%"
"Nov 16, 2021","1.9195","1.9043","1.9221","1.9002","0.87%"
"Nov 15, 2021","1.9030","1.9044","1.9094","1.8968","0.04%"
"Nov 12, 2021","1.9023","1.9046","1.9108","1.9003","-0.10%"
"Nov 11, 2021","1.9042","1.8986","1.9109","1.8966","0.32%"
"Nov 10, 2021","1.8982","1.9021","1.9096","1.8963","-0.15%"
"Nov 09, 2021","1.9010","1.8920","1.9056","1.8911","0.51%"
"Nov 08, 2021","1.8913","1.8965","1.9000","1.8843","-0.22%"
"Nov 05, 2021","1.8955","1.9002","1.9066","1.8930","-0.25%"
"Nov 04, 2021","1.9002","1.9115","1.9148","1.8946","-0.54%"
"Nov 03, 2021","1.9106","1.9142","1.9175","1.9062","-0.18%"
"Nov 02, 2021","1.9140","1.9039","1.9187","1.8997","0.64%"
