"Date","Price","Open","High","Low","Change %"
"Jan 01, 2010","67.53","67.26","67.53","67.18","0.28%"
"Jan 04, 2010","67.97","67.34","68.11","66.78","0.65%"
"Jan 05, 2010","67.36","67.92","68.00","67.03","-0.90%"
"Jan 06, 2010","68.17","67.39","68.29","66.95","1.20%"
"Jan 07, 2010","68.33","68.09","68.58","67.77","0.23%"
"Jan 08, 2010","68.25","68.30","68.84","67.48","-0.12%"
"Jan 11, 2010","68.42","68.49","68.62","68.00","0.25%"
"Jan 12, 2010","67.23","68.44","68.53","66.96","-1.74%"
"Jan 13, 2010","67.63","67.22","67.91","67.05","0.59%"
"Jan 14, 2010","67.69","67.62","68.41","67.42","0.09%"
"Jan 15, 2010","67.03","67.73","67.79","66.73","-0.98%"
"Jan 18, 2010","67.11","66.67","67.26","66.52","0.12%"
"Jan 19, 2010","67.37","67.06","67.48","66.63","0.39%"
"Jan 20, 2010","65.69","67.11","67.11","65.41","-2.49%"
"Jan 21, 2010","64.24","65.89","66.36","64.16","-2.21%"
"Jan 22, 2010","63.86","64.28","64.99","63.72","-0.59%"
"Jan 25, 2010","64.42","64.28","64.70","63.93","0.88%"
"Jan 26, 2010","63.43","64.42","64.95","62.91","-1.54%"
"Jan 27, 2010","63.58","63.48","63.66","62.73","0.24%"
"Jan 28, 2010","63.31","63.51","64.60","63.15","-0.42%"
"Jan 29, 2010","63.30","63.38","64.32","62.88","-0.02%"
"Feb 01, 2010","64.29","62.94","64.44","62.92","1.56%"
"Feb 02, 2010","64.36","64.21","64.47","63.83","0.11%"
"Feb 03, 2010","64.37","64.34","64.69","64.03","0.02%"
"Feb 04, 2010","61.12","63.84","63.94","60.63","-5.05%"
"Feb 05, 2010","61.51","61.14","62.19","60.49","0.64%"
"Feb 08, 2010","61.03","61.67","61.99","60.93","-0.78%"
"Feb 09, 2010","62.29","61.03","62.58","60.80","2.06%"
"Feb 10, 2010","62.33","62.34","62.74","61.88","0.06%"
"Feb 11, 2010","62.96","62.29","63.09","62.12","1.01%"
"Feb 12, 2010","62.70","62.75","63.11","61.92","-0.41%"
"Feb 15, 2010","62.75","62.70","62.98","62.56","0.08%"
"Feb 16, 2010","63.75","62.71","63.95","62.64","1.59%"
"Feb 17, 2010","64.27","63.74","64.38","63.48","0.82%"
"Feb 18, 2010","64.40","64.15","64.51","63.32","0.20%"
"Feb 19, 2010","64.05","64.16","64.32","63.56","-0.54%"
"Feb 22, 2010","63.90","64.12","64.50","63.75","-0.23%"
"Feb 23, 2010","62.44","63.92","64.25","62.13","-2.28%"
"Feb 24, 2010","62.52","62.47","62.75","61.81","0.13%"
"Feb 25, 2010","61.59","62.46","62.75","60.90","-1.49%"
"Feb 26, 2010","62.03","61.67","62.38","61.50","0.71%"
"Mar 01, 2010","62.33","62.12","62.62","61.90","0.48%"
"Mar 02, 2010","61.78","62.35","62.49","61.65","-0.88%"
"Mar 03, 2010","61.39","61.83","62.06","61.11","-0.63%"
"Mar 04, 2010","61.16","61.38","61.64","60.60","-0.37%"
"Mar 05, 2010","62.92","61.17","63.09","61.02","2.88%"
"Mar 08, 2010","63.19","62.81","63.61","62.80","0.43%"
"Mar 09, 2010","63.22","63.30","63.35","62.46","0.05%"
"Mar 10, 2010","63.49","63.21","64.35","63.11","0.43%"
"Mar 11, 2010","63.44","63.47","63.61","62.93","-0.08%"
"Mar 12, 2010","63.45","63.41","64.06","63.22","0.02%"
"Mar 15, 2010","63.55","63.79","64.04","63.16","0.16%"
"Mar 16, 2010","64.25","63.57","64.29","63.40","1.10%"
"Mar 17, 2010","64.47","64.29","65.00","64.15","0.34%"
"Mar 18, 2010","64.53","64.51","64.86","64.05","0.09%"
"Mar 19, 2010","64.12","64.52","64.78","63.94","-0.64%"
"Mar 22, 2010","63.69","64.01","64.07","63.00","-0.67%"
"Mar 23, 2010","63.96","63.70","64.06","63.49","0.42%"
