"Date","Price","Open","High","Low","Change %"
"Jan 01, 2010","0.7232","0.7232","0.7232","0.7232","-0.03%"
"Jan 04, 2010","0.7342","0.7236","0.7354","0.7196","1.52%"
"Jan 05, 2010","0.7337","0.7342","0.7390","0.7317","-0.07%"
"Jan 06, 2010","0.7378","0.7336","0.7387","0.7304","0.56%"
"Jan 07, 2010","0.7325","0.7380","0.7431","0.7313","-0.72%"
"Jan 08, 2010","0.7370","0.7325","0.7381","0.7287","0.61%"
"Jan 11, 2010","0.7417","0.7400","0.7437","0.7383","0.64%"
"Jan 12, 2010","0.7382","0.7415","0.7431","0.7365","-0.47%"
"Jan 13, 2010","0.7401","0.7381","0.7425","0.7371","0.26%"
"Jan 14, 2010","0.7421","0.7401","0.7444","0.7386","0.27%"
"Jan 15, 2010","0.7380","0.7422","0.7423","0.7361","-0.55%"
"Jan 18, 2010","0.7406","0.7355","0.7408","0.7330","0.35%"
"Jan 19, 2010","0.7336","0.7406","0.7408","0.7323","-0.95%"
"Jan 20, 2010","0.7216","0.7336","0.7345","0.7187","-1.64%"
"Jan 21, 2010","0.7131","0.7216","0.7232","0.7097","-1.18%"
"Jan 22, 2010","0.7096","0.7131","0.7176","0.7092","-0.49%"
"Jan 25, 2010","0.7140","0.7133","0.7168","0.7114","0.62%"
"Jan 26, 2010","0.7076","0.7140","0.7170","0.7023","-0.90%"
"Jan 27, 2010","0.7060","0.7078","0.7106","0.7032","-0.23%"
"Jan 28, 2010","0.7049","0.7060","0.7138","0.7027","-0.16%"
"Jan 29, 2010","0.7012","0.7049","0.7090","0.7008","-0.52%"
"Feb 01, 2010","0.7089","0.7034","0.7098","0.6996","1.10%"
"Feb 02, 2010","0.7133","0.7087","0.7137","0.7030","0.62%"
"Feb 03, 2010","0.6986","0.7133","0.7151","0.6967","-2.06%"
"Feb 04, 2010","0.6886","0.6986","0.7000","0.6845","-1.43%"
"Feb 05, 2010","0.6894","0.6886","0.6932","0.6808","0.12%"
"Feb 08, 2010","0.6826","0.6867","0.6921","0.6818","-0.99%"
"Feb 09, 2010","0.6951","0.6828","0.6968","0.6826","1.83%"
"Feb 10, 2010","0.6944","0.6950","0.6969","0.6895","-0.10%"
"Feb 11, 2010","0.6985","0.6943","0.7026","0.6943","0.59%"
"Feb 12, 2010","0.6974","0.6983","0.6990","0.6900","-0.16%"
"Feb 15, 2010","0.6971","0.6966","0.6990","0.6956","-0.04%"
"Feb 16, 2010","0.7063","0.6969","0.7080","0.6966","1.32%"
"Feb 17, 2010","0.7026","0.7064","0.7080","0.7009","-0.52%"
"Feb 18, 2010","0.6956","0.7027","0.7063","0.6947","-1.00%"
"Feb 19, 2010","0.6994","0.6956","0.7002","0.6931","0.55%"
"Feb 22, 2010","0.7016","0.7002","0.7038","0.6997","0.31%"
"Feb 23, 2010","0.6947","0.7016","0.7059","0.6895","-0.98%"
"Feb 24, 2010","0.6940","0.6947","0.6950","0.6872","-0.10%"
"Feb 25, 2010","0.6906","0.6942","0.6946","0.6848","-0.49%"
"Feb 26, 2010","0.6982","0.6906","0.7018","0.6906","1.10%"
"Mar 01, 2010","0.6996","0.6998","0.7016","0.6931","0.20%"
"Mar 02, 2010","0.6970","0.6996","0.6998","0.6924","-0.37%"
"Mar 03, 2010","0.6936","0.6970","0.6986","0.6893","-0.49%"
"Mar 04, 2010","0.6861","0.6936","0.6936","0.6852","-1.08%"
"Mar 05, 2010","0.6962","0.6861","0.6978","0.6861","1.47%"
"Mar 08, 2010","0.6996","0.6996","0.7034","0.6986","0.49%"
"Mar 09, 2010","0.7034","0.6996","0.7044","0.6964","0.54%"
