"Date","Price","Open","High","Low","Change %"
"Dec 31, 2021","6.5405","6.5663","6.5801","6.5311","-0.39%"
"Dec 30, 2021","6.5664","6.5528","6.5817","6.5458","0.22%"
"Dec 29, 2021","6.5522","6.5750","6.5953","6.5395","-0.33%"
"Dec 28, 2021","6.5742","6.5644","6.5868","6.5610","0.15%"
"Dec 27, 2021","6.5642","6.5681","6.5792","6.5606","-0.07%"
"Dec 24, 2021","6.5688","6.5630","6.5786","6.5549","0.09%"
"Dec 23, 2021","6.5629","6.5654","6.5862","6.5556","-0.02%"
"Dec 22, 2021","6.5639","6.5874","6.6016","6.5555","-0.35%"
"Dec 21, 2021","6.5871","6.5945","6.6038","6.5788","-0.10%"
"Dec 20, 2021","6.5939","6.6165","6.6194","6.5782","-0.35%"
"Dec 17, 2021","6.6173","6.5632","6.6193","6.5518","0.83%"
"Dec 16, 2021","6.5628","6.5848","6.5919","6.5453","-0.33%"
"Dec 15, 2021","6.5843","6.6040","6.6266","6.5807","-0.29%"
"Dec 14, 2021","6.6036","6.5900","6.6082","6.5663","0.23%"
"Dec 13, 2021","6.5886","6.5735","6.6045","6.5685","0.29%"
"Dec 10, 2021","6.5697","6.5844","6.6013","6.5661","-0.21%"
"Dec 09, 2021","6.5837","6.5563","6.5936","6.5528","0.44%"
"Dec 08, 2021","6.5550","6.5990","6.6011","6.5480","-0.68%"
"Dec 07, 2021","6.5999","6.5895","6.6235","6.5813","0.16%"
"Dec 06, 2021","6.5892","6.5741","6.6006","6.5715","0.25%"
"Dec 03, 2021","6.5729","6.5803","6.6006","6.5609","-0.10%"
"Dec 02, 2021","6.5795","6.5684","6.5838","6.5527","0.16%"
"Dec 01, 2021","6.5690","6.5588","6.5799","6.5462","0.16%"
"Nov 30, 2021","6.5585","6.5863","6.6192","6.5328","-0.41%"
"Nov 29, 2021","6.5852","6.5695","6.6059","6.5694","0.26%"
"Nov 26, 2021","6.5682","6.6339","6.6360","6.5632","-0.98%"
"Nov 25, 2021","6.6334","6.6408","6.6409","6.6213","-0.09%"
"Nov 24, 2021","6.6397","6.6111","6.6483","6.6069","0.44%"
"Nov 23, 2021","6.6105","6.6184","6.6248","6.5950","-0.12%"
"Nov 22, 2021","6.6184","6.5904","6.6221","6.5861","0.42%"
"Nov 19, 2021","6.5909","6.5395","6.6106","6.5378","0.79%"
"Nov 18, 2021","6.5395","6.5693","6.5732","6.5375","-0.44%"
"Nov 17, 2021","6.5682","6.5691","6.6026","6.5617","-0.00%"
"Nov 16, 2021","6.5684","6.5419","6.5760","6.5313","0.42%"
"Nov 15, 2021","6.5411","6.4980","6.5493","6.4867","0.65%"
"Nov 12, 2021","6.4990","6.4951","6.5052","6.4883","0.08%"
"Nov 11, 2021","6.4937","6.4798","6.4997","6.4736","0.22%"
"Nov 10, 2021","6.4792","6.4152","6.4813","6.4135","1.01%"
"Nov 09, 2021","6.4147","6.4198","6.4289","6.4068","-0.07%"
"Nov 08, 2021","6.4190","6.4314","6.4402","6.4142","-0.16%"
"Nov 05, 2021","6.4293","6.4373","6.4604","6.4257","-0.11%"
"Nov 04, 2021","6.4367","6.4053","6.4518","6.4022","0.51%"
"Nov 03, 2021","6.4041","6.4248","6.4332","6.4025","-0.32%"
"Nov 02, 2021","6.4247","6.4095","6.4273","6.4056","0.26%"
"Nov 01, 2021","6.4081","6.4345","6.4432","6.4072","-0.39%"
"Oct 29, 2021","6.4333","6.3684","6.4496","6.3629","1.03%"
"Oct 28, 2021","6.3678","6.4114","6.4233","6.3615","-0.67%"
"Oct 27, 2021","6.4105","6.4152","6.4220","6.3984","-0.06%"
"Oct 26, 2021","6.4142","6.4077","6.4218","6.3984","0.11%"
"Oct 25, 2021","6.4069","6.3888","6.4191","6.3774","0.29%"
"Oct 22, 2021","6.3882","6.4019","6.4030","6.3832","-0.18%"
"Oct 21, 2021","6.4000","6.3870","6.4040","6.3767","0.22%"
"Oct 20, 2021","6.3858","6.3962","6.4055","6.3812","-0.15%"
"Oct 19, 2021","6.3956","6.4081","6.4098","6.3761","-0.18%"
"Oct 18, 2021","6.4071","6.4147","6.4300","6.4015","-0.09%"
"Oct 15, 2021","6.4127","6.4155","6.4216","6.4031","-0.06%"
"Oct 14, 2021","6.4166","6.4174","6.4240","6.4004","-0.01%"
"Oct 13, 2021","6.4174","6.4534","6.4546","6.4153","-0.55%"
"Oct 12, 2021","6.4530","6.4398","6.4571","6.4303","0.22%"
"Oct 11, 2021","6.4390","6.4292","6.4429","6.4218","0.17%"
"Oct 08, 2021","6.4282","6.4408","6.4471","6.4229","-0.19%"
"Oct 07, 2021","6.4407","6.4378","6.4434","6.4290","0.06%"
"Oct 06, 2021","6.4369","6.4135","6.4531","6.4111","0.38%"
"Oct 05, 2021","6.4125","6.4002","6.4231","6.3986","0.21%"
"Oct 04, 2021","6.3988","6.4137","6.4185","6.3890","-0.24%"
"Oct 01, 2021","6.4143","6.4235","6.4320","6.4066","-0.13%"
"Sep 30, 2021","6.4226","6.4119","6.4321","6.4044","0.17%"
"Sep 29, 2021","6.4120","6.3646","6.4172","6.3602","0.75%"
"Sep 28, 2021","6.3640","6.3579","6.3732","6.3532","0.11%"
"Sep 27, 2021","6.3573","6.3445","6.3641","6.3403","0.21%"
"Sep 24, 2021","6.3437","6.3355","6.3556","6.3292","0.14%"
"Sep 23, 2021","6.3351","6.3630","6.3653","6.3277","-0.41%"
"Sep 22, 2021","6.3615","6.3419","6.3646","6.3254","0.31%"
"Sep 21, 2021","6.3419","6.3414","6.3481","6.3288","0.03%"
"Sep 20, 2021","6.3402","6.3417","6.3558","6.3352","-0.02%"
"Sep 17, 2021","6.3412","6.3215","6.3427","6.3070","0.35%"
"Sep 16, 2021","6.3191","6.2934","6.3281","6.2901","0.42%"
"Sep 15, 2021","6.2929","6.2987","6.3026","6.2842","-0.10%"
"Sep 14, 2021","6.2993","6.2961","6.3025","6.2772","0.06%"
"Sep 13, 2021","6.2956","6.2963","6.3180","6.2925","-0.01%"
"Sep 10, 2021","6.2960","6.2880","6.2970","6.2741","0.13%"
"Sep 09, 2021","6.2880","6.2925","6.2993","6.2794","-0.07%"
"Sep 08, 2021","6.2921","6.2793","6.3010","6.2739","0.20%"
"Sep 07, 2021","6.2793","6.2643","6.2822","6.2561","0.25%"
"Sep 06, 2021","6.2639","6.2596","6.2726","6.2555","0.08%"
"Sep 03, 2021","6.2590","6.2617","6.2673","6.2439","-0.03%"
"Sep 02, 2021","6.2608","6.2801","6.2840","6.2608","-0.31%"
"Sep 01, 2021","6.2805","6.2974","6.3060","6.2712","-0.27%"
"Aug 31, 2021","6.2977","6.3035","6.3048","6.2775","-0.09%"
"Aug 30, 2021","6.3031","6.3039","6.3113","6.2962","-0.00%"
"Aug 27, 2021","6.3034","6.3279","6.3376","6.3005","-0.37%"
"Aug 26, 2021","6.3268","6.3169","6.3313","6.3129","0.16%"
"Aug 25, 2021","6.3165","6.3253","6.3423","6.3153","-0.14%"
"Aug 24, 2021","6.3253","6.3311","6.3418","6.3205","-0.09%"
"Aug 23, 2021","6.3310","6.3565","6.3605","6.3283","-0.39%"
"Aug 20, 2021","6.3558","6.3696","6.3765","6.3529","-0.20%"
"Aug 19, 2021","6.3686","6.3501","6.3752","6.3471","0.29%"
"Aug 18, 2021","6.3505","6.3506","6.3597","6.3330","0.01%"
"Aug 17, 2021","6.3499","6.3144","6.3525","6.3101","0.57%"
"Aug 16, 2021","6.3136","6.3042","6.3198","6.3011","0.17%"
"Aug 13, 2021","6.3032","6.3403","6.3415","6.2993","-0.57%"
"Aug 12, 2021","6.3394","6.3359","6.3440","6.3298","0.08%"
"Aug 11, 2021","6.3345","6.3451","6.3538","6.3273","-0.17%"
"Aug 10, 2021","6.3453","6.3362","6.3513","6.3329","0.16%"
"Aug 09, 2021","6.3352","6.3219","6.3385","6.3186","0.20%"
"Aug 06, 2021","6.3226","6.2852","6.3275","6.2828","0.60%"
"Aug 05, 2021","6.2847","6.2825","6.2873","6.2712","0.04%"
"Aug 04, 2021","6.2819","6.2690","6.2854","6.2488","0.22%"
"Aug 03, 2021","6.2683","6.2669","6.2754","6.2530","0.05%"
"Aug 02, 2021","6.2649","6.2677","6.2729","6.2517","-0.02%"
"Jul 30, 2021","6.2660","6.2573","6.2766","6.2453","0.17%"
"Jul 29, 2021","6.2553","6.2796","6.2818","6.2534","-0.38%"
"Jul 28, 2021","6.2793","6.2942","6.3166","6.2762","-0.23%"
"Jul 27, 2021","6.2935","6.3020","6.3189","6.2807","-0.13%"
"Jul 26, 2021","6.3017","6.3174","6.3223","6.2931","-0.22%"
"Jul 23, 2021","6.3159","6.3197","6.3282","6.3104","-0.04%"
"Jul 22, 2021","6.3183","6.3064","6.3267","6.2868","0.20%"
"Jul 21, 2021","6.3057","6.3138","6.3298","6.3004","-0.11%"
"Jul 20, 2021","6.3127","6.3039","6.3279","6.3017","0.16%"
